taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Enophrys;Enophrys bison	Buffalo sculpin	7.32
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis ornata	Saddled Blenny	5.69
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos decagrammus	Kelp greenling	1.63
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos	Cattle	13.82
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Lepidopsetta	Right-eye flounders	7.32
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae	Bovine	11.38
Eukaryota	""	44.72
Animalia;Chordata;Actinopteri;Perciformes;Jordaniidae;Jordania;Jordania zonope	""	0.81
Animalia;Chordata;Aves;Passeriformes	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae	Bullheads	12.2
Animalia;Chordata;Amphibia;Anura;Megophryidae	Frogs	13.82
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus	""	6.5
Animalia;Chordata;Actinopteri;Syngnathiformes;Syngnathidae	Pipe fish	6.5
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	Pacific staghorn sculpin	2.44
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis gunnellus	Butter-fish	3.25
Animalia;Chordata;Actinopteri;NA;Embiotocidae;Cymatogaster;Cymatogaster aggregata	Shiner perch	7.32
Animalia;Chordata;Chondrichthyes;Squaliformes	Dogfish sharks	6.5
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus poecilopus	Alpine bullhead	2.44
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus	Oarfishes	6.5
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus	Rabbitfishes	4.07
Animalia;Chordata;Actinopteri;NA;Embiotocidae	Surf perches	8.13
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Parophrys;Parophrys vetulus	English Sole	5.69
Animalia;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Engyprosopon;Engyprosopon macrolepis	""	0.81
Animalia;Chordata;Amphibia;Anura	Frogs	14.63
Animalia;Chordata;Actinopteri;Perciformes;Rhamphocottidae;Rhamphocottus;Rhamphocottus richardsonii	Grunt sculpin	1.63
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Barbatula	Minnows	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae	Rockfishes, Rockcods And Thornyheads	1.63
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus	Bullhead	4.07
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Zoarchias	""	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis	""	1.63
Animalia;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus filamentosus	""	0.81
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis	""	5.69
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis laeta	Crescent gunnel	5.69
Animalia;Chordata;Aves	Birds	3.25
Animalia;Chordata;Mammalia;Eulipotyphla;Soricidae	""	1.63
Animalia;Chordata;Chondrichthyes	Chordates	6.5
Animalia;Chordata;Actinopteri;Tetraodontiformes;Diodontidae	Balloonfishes	3.25
Animalia;Chordata;Actinopteri;NA;Sphyraenidae;Sphyraena	""	1.63
Animalia;Chordata;Actinopteri;Perciformes;Bathymasteridae;Bathymaster;Bathymaster caeruleofasciatus	Alaskan ronquil	0.81
Animalia;Chordata;Actinopteri;Perciformes;Psychrolutidae;Ebinania;Ebinania brephocephala	""	4.07
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae	Anchovies	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Mesocottus;Mesocottus haitej	""	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Phocoenidae;Phocoena;Phocoena phocoena	Eastern Pacific Harbor Porpoise	5.69
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae	Salmonids	8.94
Animalia;Chordata;Aves;Galliformes;Phasianidae	Grouse	4.88
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus gorbuscha	Pink Salmon (Gorbuscha Salmon)	2.44
Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae;Beringraja	Skates and rays	2.44
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae	Sand-eels	8.94
Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus	""	0.81
Animalia;Chordata;Aves;Bucerotiformes;Bucerotidae	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus;Myoxocephalus stelleri	Steller's sculpin	4.88
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta	Keta salmon	6.5
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus lampretaeformis	Snake Blenny	5.69
Animalia;Chordata;Actinopteri;NA;Pomacentridae;Stegastes	""	0.81
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres inornatus	Cape wrasse	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus;Myoxocephalus quadricornis	Four-horned sculpin	5.69
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch	Coho salmon	5.69
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae	Flatfishes	4.07
Animalia;Chordata;Mammalia;Primates;Hominidae;Pan;Pan troglodytes	""	1.63
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae	Minnows	0.81
Animalia;Chordata;Actinopteri;Anabantiformes;Badidae;Dario;Dario dario	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Stichaeus	""	1.63
Animalia;Chordata;Aves;Galliformes;Odontophoridae;Odontophorus;Odontophorus capueira	""	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus	North Pacific hake	1.63
Animalia;Chordata;Actinopteri;Clupeiformes;Chirocentridae;Chirocentrus	""	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Microstomus;Microstomus pacificus	Dover Sole	0.81
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;Lycodes sp. ADK-2014	""	0.81
Animalia;Chordata;Actinopteri;Cypriniformes	""	0.81
Animalia;Chordata;Mammalia;Carnivora;Ursidae	""	0.81
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha	Chinook salmon	1.63
Animalia;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Labeo	""	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus	Bullheads	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Megaptera;Megaptera novaeangliae	Hump Whale	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Kasatkia;Kasatkia memorabilis	""	0.81
