File,Foraging (Y/N),Seal_Presence,Original_Date (Do Not Use for R),Date,File_Timestamp,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,FGS_Status,Notes,
May_08_2023_135727_533,Y,Y," _May _10, _2023",5/10/23,9:43:14 AM,40:20.8,40:57.0,,,,,,,,,,,00:36.2,36.20,ON,foraging on a school of fish,
May_08_2023_135727_534,Y,Y," _May _10, _2023",5/10/23,__9:48:02 AM,43:43.6,44:22.4,,,,,,,,,,,00:38.8,38.80,ON,foraging on a school of fish,
May_08_2023_135727_535,N,Y," _May _10, _2023",5/10/23,9:52:12 AM,51:20.8,51:55.6,,,,,,,,,,,00:34.8,34.80,ON,Swim in and out at around 20 m,
May_08_2023_135727_536,Y,Y," _May _10, _2023",5/10/23,__9:56:06 AM,54:41.1,54:48.7,,,,,,,,,,,00:07.6,7.60,ON,Quick hit of a school of fish. A lot of garbage floating through water with some schooling fish,
May_08_2023_135727_537,Y,Y," _May _10, _2023",5/10/23,10:00:16 AM,57:25.0,57:32.0,57:58.9,58:11.5,58:40.2,59:13.1,,,,,,,00:52.5,52.50,ON,A lot of really large schools of fish and a lot of foraging,
May_08_2023_135727_538,Y,Y," _May _10, _2023",5/10/23,__10:04:46 AM,01:49.4,01:55.0,02:01.4,02:18.2,,,,,,,,,00:22.4,22.40,ON,One quick strike of a large school of fish then a swim out after that,
May_08_2023_135727_539,Y,Y," _May _10, _2023",5/10/23,10:09:28 AM,06:00.3,06:05.5,06:18.0,06:47.7,08:47.2,09:19.5,,,,,,,01:07.2,67.20,ON,A lot of fish all around and seals going through the schools,
May_08_2023_135727_540,N,Y," _May _10, _2023",5/10/23,__10:13:58 AM,13:48.1,13:53.3,,,,,,,,,,,00:05.2,5.20,ON,Quick swim through,
May_08_2023_135727_541,Y,Y," _May _10, _2023",5/10/23,__10:18:34 AM,14:20.3,14:54.5,17:00.1,17:09.7,,,,,,,,,00:43.8,43.80,ON,Two foraging events with a lot of fish,
May_08_2023_135727_542,Y,Y," _May _10, _2023",5/10/23,10:23:06 AM,18:42.9,19:21.4,21:19.2,21:51.0,,,,,,,,,01:10.3,70.30,ON,Two foraging events with a lot of fish,
May_08_2023_135727_543,Y,Y," _May _10, _2023",5/10/23,__10:27:34 AM,23:18.6,23:29.3,23:39.1,23:51.7,25:05.2,25:14.6,25:15.3,25:19.4,27:09.4,27:31.8,,,00:59.2,59.20,ON,Multiple foraging events very end of the file will bleed into the next,
May_08_2023_135727_544,Y,Y," _May _10, _2023",5/10/23,10:32:02 AM,27:31.9,27:41.7,27:47.7,27:54.6,30:18.7,30:56.0,32:00.5,32:01.5,,,,,00:55.0,55.00,ON,Several foraging attepts and the end of file bleeds into the next file,
May_08_2023_135727_545,Y,Y," _May _10, _2023",5/10/23,__10:36:42 AM,32:01.6,32:13.1,,,,,,,,,,,00:11.5,11.50,ON,Single foraging event  but a lot of fish,
May_08_2023_135727_546,Y,Y," _May _10, _2023",5/10/23,__10:41:18 AM,38:08.8,38:41.3,,,,,,,,,,,00:32.5,32.50,ON,Single foraging event  but a lot of fish and it looks like bigger salmon feeding on smaller forage fish,
May_08_2023_135727_547,N,Y," _May _10, _2023",5/10/23,10:46:00 AM,41:58.9,42:07.0,42:22.6,42:42.7,,,,,,,,,00:28.2,28.20,ON,Swims away from transducer then back toward it but not in the middle. Fish responses but not to the seal that is in the file,
