taxonomic_path	common_name	% samples positive in project
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia inconspicua	Diatoms	18.7
Animalia;Cnidaria;Anthozoa;Actiniaria	""	1.63
Animalia;Arthropoda;Insecta;Diptera;Drosophilidae;Stegana	Fruit Fly	6.5
Animalia;Nemertea;Anopla;Heteronemertea;Lineidae;Micrura;Micrura sp. albocephala	""	1.63
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis	""	3.25
Fungi;Ascomycota	""	27.64
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum triestinum	Dinoflagellates	4.07
Animalia;Annelida;Polychaeta;Capitellida;Maldanidae;Nicomache;Nicomache personata	""	0.81
Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;NA;Mycetophilidae sp. BOLD-2016	Fungus Gnat	0.81
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pterothamnion	Plants	8.94
Animalia;Arthropoda;Insecta;Coleoptera;Cerambycidae	""	0.81
Animalia;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	Beachworms	19.51
Animalia;Arthropoda;Insecta;Thysanoptera;Phlaeothripidae;Haplothrips;Haplothrips tenuipennis	Thrips	3.25
Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae	Paddle-footed annelids	2.44
Animalia;Rotifera;Monogononta;Ploima	Rotifers	9.76
NA;NA;Oomycetes	""	21.95
Animalia;Arthropoda;Arachnida;Scorpiones	""	0.81
Animalia;Mollusca;Gastropoda;NA;Lepetidae;Limalepeta;Limalepeta lima	Blind limpets	1.63
Chromista;NA;Dinophyceae;Peridiniales;Oxytoxaceae;Thecadinium;Thecadinium sp. NEPCC 682	""	1.63
Plantae;NA;Compsopogonophyceae;Erythropeltidales;Erythropeltidaceae;Smithora;Smithora naiadum	Plants	8.13
Animalia;Porifera;Demospongiae;Dendroceratida;Halisarcidae;Halisarca	Demosponge	0.81
Animalia;Mollusca;Bivalvia;Nuculoida;Nuculidae;Acila;Acila castrensis	Divaricate nutclam	13.82
Plantae;Chlorophyta;Nephroselmidophyceae;NA;NA;Nephroselmis;Nephroselmis pyriformis	""	0.81
Chromista;Phaeophyceae;NA;Fucales;Fucaceae;Fucus;Fucus distichus	""	1.63
Animalia;Arthropoda;Insecta;Diptera;Tabanidae	""	0.81
Animalia;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae	""	6.5
Chromista;NA;Oomycetes;Peronosporales	""	0.81
Plantae;NA;Florideophyceae	Plants	24.39
Animalia;Mollusca;Gastropoda;NA;Fasciolariidae;Peristernia	""	0.81
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus;Hydrolagus colliei	White-spotted Ratfish	5.69
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1879	Dinoflagellates	13.01
Animalia;Mollusca;Bivalvia	Bivalves	8.94
Plantae;NA;Florideophyceae;Gracilariales;Gracilariaceae;Gracilaria;Gracilaria pacifica	""	1.63
Chromista;Bacillariophyta;Bacillariophyceae;Naviculales	Diatoms	13.01
Chromista;NA;Raphidophyceae;Chattonellales;Chattonellaceae;Heterosigma;Heterosigma akashiwo	Brown algae	17.89
Animalia;Arthropoda;Arachnida;Trombidiformes	""	4.88
Animalia;Arthropoda;Insecta;Hemiptera;Miridae;NA;Miridae sp. BOLD-2016	""	0.81
Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae;Platynereis;Platynereis bicanaliculata	Nereids	0.81
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis flabellulata	Plants	4.88
Animalia;Annelida;Polychaeta	Paddle-footed annelids	4.88
Animalia;Mollusca;Gastropoda;NA;Lottiidae;Lottia;Lottia paradigitalis	Tortoiseshell limpets	4.07
Animalia;Arthropoda;Insecta;Hymenoptera;Vespidae;Vespa;Vespa velutina	""	0.81
Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Chone;Chone magna CMC02	Fanworms	2.44
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	""	4.07
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium catenatum	Dinoflagellates	6.5
Animalia;Arthropoda;Maxillopoda;Calanoida	Calanoid Copepods	17.07
Animalia;Rotifera;Monogononta	Rotifers	6.5
Chromista;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia zodiacus	Diatoms	6.5
Chromista;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella verruculosa	Brown algae	18.7
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium rubens	""	0.81
Animalia;Mollusca;Gastropoda;NA;Lacunidae;Lacuna;Lacuna vincta	""	0.81
Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Aurelia;Aurelia labiata	Pacific moon jelly	3.25
Animalia;Arthropoda;Arachnida;Araneae;Linyphiidae	""	3.25
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema	Diatoms	29.27
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;Canis lupus	""	1.63
Fungi;Ascomycota;Sordariomycetes	Pyrenomycete	3.25
Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Polycirrus;Polycirrus sp. CMC05	Annelids	1.63
Animalia;Mollusca;Gastropoda;NA;Olividae;Agaronia	""	1.63
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis	Cat	0.81
Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;Biroia;Biroia fuscicornis	""	0.81
Animalia;Arthropoda;Arachnida;Araneae;Idiopidae	""	0.81
Fungi;Ascomycota;Leotiomycetes	Asco's	3.25
Animalia;Chordata;Mammalia;NA;Suidae;Sus	Palawan Bearded Pig	8.13
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos decagrammus	""	1.63
Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Pelagiidae;Pelagia	""	1.63
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae	""	0.81
Animalia;Mollusca;Gastropoda;NA;Cyclophoridae;Cyclophorus;Cyclophorus rangunensis	""	4.88
Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Styela;Styela gibbsii	Ascidians	5.69
Chromista;NA;Oomycetes;Peronosporales;NA;Phytophthora	Downy Mildew	4.88
