Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_4D_mean_unsmoothed,Fish_track_change_in_range,Time_in_beam,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
33,Region 33,Unclassified regions,OFF,15,0.290746,3913,3971,0,6/7/2023, 00:52:38.4600,999,999,55548589468,51,112.674122,25.730439,1.2015,1.966891,6.633,7.9696,0.290746,-9999,20.596086,23.085867,17.718039,5.367829,-9999,-9999,-9999,-9999,-9999,-9999
39,Region 39,Unclassified regions,OFF,16,0.440385,27,142,0,6/7/2023, 00:53:32.8360,999,999,3488270667,95,95.820932,17.366054,1.4764,-11.217563,13.321,19.6672,0.440385,-9999,16.176102,21.683625,8.575671,-13.107954,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,OFF,17,0.426275,3894,3979,0,6/7/2023, 02:06:36.0440,999,999,8842297386,67,98.287261,16.870444,4.0547,7.094555,9.968,40.4169,0.426275,-9999,14.994481,19.457772,9.629305,9.828466,-9999,-9999,-9999,-9999,-9999,-9999
46,Region 46,Unclassified regions,OFF,18,0.514057,84,132,0,6/7/2023, 02:07:21.9730,999,999,143848351,48,86.540696,13.706104,9.6534,-2.88103,5.509,53.1807,0.514057,-9999,10.49098,12.641774,8.197899,-3.224508,-9999,-9999,-9999,-9999,-9999,-9999
65,Region 65,Unclassified regions,OFF,18,0.378146,2044,2531,0,6/7/2023, 02:11:32.9500,999,999,3507702410,353,93.07425,16.313465,1.0253,-3.54535,56.202,57.6237,0.378146,-9999,15.42425,19.678161,6.8199,-2.389685,-9999,-9999,-9999,-9999,-9999,-9999
66,Region 66,Unclassified regions,OFF,19,0.630694,345,395,0,6/7/2023, 02:16:18.9460,999,999,59103858.84,51,83.659778,12.570154,1.0943,5.652307,5.777,6.3215,0.630694,-9999,12.197658,15.162576,9.044093,6.118484,-9999,-9999,-9999,-9999,-9999,-9999
67,Region 67,Unclassified regions,OFF,19,0.512685,902,963,0,6/7/2023, 02:17:23.5080,999,999,1334338988,57,93.820218,17.565365,1.1949,-6.530644,7.114,8.5006,0.512685,-9999,13.914235,18.109289,9.981707,-8.127582,-9999,-9999,-9999,-9999,-9999,-9999
69,Region 69,Unclassified regions,OFF,20,0.383365,2074,2204,0,6/7/2023, 02:28:19.5720,999,999,58882726865,125,110.188577,22.874336,1.2719,-6.986681,15.054,19.1465,0.383365,-9999,20.363563,26.860469,13.779356,-13.081113,-9999,-9999,-9999,-9999,-9999,-9999
70,Region 70,Unclassified regions,OFF,21,0.591587,171,234,0,6/7/2023, 02:33:16.7270,999,999,371337102.3,63,87.396911,14.559255,1.3888,8.015483,7.263,10.0866,0.591587,-9999,13.936762,18.317044,9.215181,9.101863,-9999,-9999,-9999,-9999,-9999,-9999
74,Region 74,Unclassified regions,OFF,22,0.391831,943,1060,0,6/7/2023, 03:00:54.0950,999,999,26070921747,105,102.63991,20.141552,1.49,10.526838,13.445,20.0328,0.391831,-9999,18.085508,25.556765,10.843974,14.712791,-9999,-9999,-9999,-9999,-9999,-9999
76,Region 76,Unclassified regions,OFF,22,0.346402,2029,2168,0,6/7/2023, 03:03:00.0800,999,999,1.43894E+11,131,113.238556,24.80163,1.3402,-7.304406,16.088,21.5617,0.346402,-9999,22.137582,28.830254,15.424356,-13.405898,-9999,-9999,-9999,-9999,-9999,-9999
78,Region 78,Unclassified regions,OFF,23,0.235038,3693,3795,0,6/7/2023, 03:23:57.8220,999,999,28827677982,55,106.013875,24.032058,1.3465,-5.004154,11.79,15.8749,0.235038,-9999,21.769426,26.251509,16.570846,-9.680663,-9999,-9999,-9999,-9999,-9999,-9999
79,Region 79,Unclassified regions,OFF,24,0.230779,356,419,0,6/7/2023, 14:04:32.7240,999,999,280622637,30,85.9602,11.259473,5.4345,1.917863,7.185,39.0472,0.230779,-9999,8.968409,10.257945,7.101947,1.28807,-9999,-9999,-9999,-9999,-9999,-9999
