Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
82,Region 82,Unclassified regions,198,OFF,0.209709,2721,2914,0,6/5/2023, 08:09:57.9850,999,999,1.22572E+11,50,114.311854,26.805363,0.133351,1.1831,0.656082,5.156071,0,90,2.511346,22.13,1.175092,1.243626,2.951062,26.1823,0.209709,-9999,23.443446,25.676683,21.946246,-3.15988,-9999,-9999,-9999,-9999,-9999,-9999
83,Region 83,Unclassified regions,198,OFF,0.210463,3328,3446,0,6/5/2023, 08:11:03.6160,999,999,38751427629,21,111.060277,25.539383,0.108688,1.8699,0.824497,5.857964,0,-90,0.387071,13.616,3.823331,1.077579,1.4799,25.4611,0.210463,-9999,20.878994,24.944849,18.973461,5.944223,-9999,-9999,-9999,-9999,-9999,-9999
85,Region 85,Unclassified regions,199,OFF,0.417229,2988,3080,0,6/5/2023, 08:36:58.6440,999,999,49863886.01,82,78.116244,6.250423,0.40028,0.9326,3.032965,6.687538,0,-90,3.816097,10.531,1.104624,2.055038,4.215351,9.8214,0.417229,-9999,5.004363,5.666993,4.066806,1.510072,-9999,-9999,-9999,-9999,-9999,-9999
86,Region 86,Unclassified regions,199,OFF,0.384476,3134,3175,0,6/5/2023, 08:37:12.4890,999,999,146822773.5,14,82.589886,4.758137,0.063333,0.7352,0.731274,6.153587,0,-90,-0.077413,4.838,3.958084,1.819353,0.306406,3.5567,0.384476,-9999,3.913278,4.432137,3.454506,0.971545,-9999,-9999,-9999,-9999,-9999,-9999
93,Region 93,Unclassified regions,200,OFF,0.397275,1601,1978,0,6/5/2023, 08:52:03.8360,999,999,159982117,188,80.967263,7.068679,0.1505,1.2063,2.18369,57.156036,0,-90,0.248702,43.184,26.132367,4.652409,6.499172,52.0939,0.397275,-9999,6.045334,7.837154,5.009192,0.201472,-9999,-9999,-9999,-9999,-9999,-9999
97,Region 97,Unclassified regions,201,OFF,0.307127,3322,3817,0,6/5/2023, 10:13:57.1640,999,999,266130410.1,102,84.658263,6.466337,0.057918,0.1661,1.796611,4.164329,0,90,-2.351963,56.959,1.402627,4.022586,3.298925,9.4618,0.307127,-9999,5.34614,6.721029,3.469306,-1.605561,-9999,-9999,-9999,-9999,-9999,-9999
98,Region 98,Unclassified regions,202,OFF,0.431136,239,277,0,6/5/2023, 10:33:22.1470,999,999,36290344168,38,109.316927,25.111237,0.598132,1.2305,1.479799,3.483975,0,90,-1.885708,4.366,1.384862,1.11017,2.611445,5.3725,0.431136,-9999,24.760763,26.534295,23.817157,-2.595703,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,203,OFF,0.354753,556,1211,0,6/5/2023, 10:43:01.9890,999,999,456959288.5,320,84.474098,8.882672,0.300801,0.9241,3.222453,65.236854,0,-90,0.758069,75.742,30.054306,41.070323,22.783242,69.9916,0.354753,-9999,8.614495,13.098167,3.761787,0.786487,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,204,OFF,0.487915,0,133,0,6/5/2023, 10:58:27.9100,999,999,179231136.6,117,82.97861,10.943914,0.603236,3.1685,2.829331,92.151359,0,90,-9.171941,15.258,1.003515,3.013648,9.20418,48.345,0.487915,-9999,8.501601,14.553432,4.987578,-6.948587,-9999,-9999,-9999,-9999,-9999,-9999
25,Region 25,Unclassified regions,205,OFF,0.358479,2733,3003,0,6/5/2023, 12:03:33.9340,999,999,831095039.5,189,88.185098,11.187685,0.472561,7.8508,6.926513,112.266315,0,-90,6.98377,30.997,2.09743,21.557804,14.647971,243.3519,0.358479,-9999,10.022212,14.689238,6.257763,7.376922,-9999,-9999,-9999,-9999,-9999,-9999
26,Region 26,Unclassified regions,206,OFF,0.42042,1877,2010,0,6/5/2023, 12:19:36.0000,999,999,553387071,112,86.772107,8.746594,0.470704,1.5667,4.095951,21.709953,0,-90,-2.374999,15.153,3.003194,2.794528,7.132582,23.7409,0.42042,-9999,7.699568,9.672638,5.986164,0.319388,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,206,OFF,0.541476,2144,2309,0,6/5/2023, 12:20:08.4910,999,999,904379222.6,147,87.543578,10.038613,0.630551,3.8976,4.003677,141.775596,0,90,-2.962848,18.817,4.00462,6.448307,11.865079,73.342,0.541476,-9999,8.734986,12.419189,6.168642,-1.750248,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,206,OFF,0.53284,3625,3689,0,6/5/2023, 12:22:52.0520,999,999,79253917.68,62,80.806866,9.010589,0.810798,4.5709,3.879334,120.17386,0,90,-5.351207,7.351,1.113801,5.818793,5.960179,33.601,0.53284,-9999,6.679916,10.515677,5.431986,-2.665201,-9999,-9999,-9999,-9999,-9999,-9999
48,Region 48,Unclassified regions,206,OFF,0.523768,3840,4055,0,6/5/2023, 12:23:25.2640,999,999,1280034980,191,87.810902,10.996074,0.534127,2.6868,1.725476,84.188798,0,90,-1.316628,24.583,9.972787,3.887017,13.130451,66.049,0.523768,-9999,9.42216,11.668544,5.984571,-0.009293,-9999,-9999,-9999,-9999,-9999,-9999
59,Region 59,Unclassified regions,207,OFF,0.46339,1510,1605,0,6/5/2023, 12:27:43.3050,999,999,48069802.49,72,77.734392,4.908712,0.567136,1.9569,2.648681,30.84164,0,-90,3.735024,10.863,1.649467,4.182919,6.1608,21.2581,0.46339,-9999,4.601863,7.008869,2.237494,3.74587,-9999,-9999,-9999,-9999,-9999,-9999
60,Region 60,Unclassified regions,208,OFF,0.526066,892,967,0,6/5/2023, 12:34:43.6640,999,999,72440542.79,68,83.643562,7.247919,0.660123,4.4468,1.281841,122.789595,0,90,-5.708744,8.648,1,5.018356,5.708744,38.4557,0.526066,-9999,5.945301,7.815712,4.893683,-2.436165,-9999,-9999,-9999,-9999,-9999,-9999
64,Region 64,Unclassified regions,208,OFF,0.549471,1106,1167,0,6/5/2023, 12:35:07.4680,999,999,591340155.3,53,88.623917,11.216561,0.902985,3.6879,7.619776,33.808756,0,90,-5.050543,7.116,1.272268,3.534792,6.425643,26.2434,0.549471,-9999,10.387589,12.117885,8.631455,-2.793735,-9999,-9999,-9999,-9999,-9999,-9999
66,Region 66,Unclassified regions,208,OFF,0.398738,1196,1508,0,6/5/2023, 12:35:32.5990,999,999,620995484.8,174,87.485378,7.091677,0.393012,1.8824,3.151396,52.226092,0,90,-6.501943,36.007,2.176454,9.620177,14.151181,67.7796,0.398738,-9999,6.826544,10.887793,3.732465,-6.955938,-9999,-9999,-9999,-9999,-9999,-9999
67,Region 67,Unclassified regions,208,OFF,0.366248,1588,1677,0,6/5/2023, 12:36:04.7130,999,999,214899331.3,70,85.296111,4.778767,0.492937,1.1736,5.551968,8.772993,0,90,-0.872144,10.253,5.79501,11.604166,5.054083,12.0334,0.366248,-9999,4.73299,5.175244,4.268507,-0.73917,-9999,-9999,-9999,-9999,-9999,-9999
68,Region 68,Unclassified regions,208,OFF,0.49863,1736,1792,0,6/5/2023, 12:36:19.7570,999,999,293723593.2,57,85.999063,4.477687,0.387903,0.898,1.566788,3.656745,0,-90,-0.895212,6.396,2.771442,2.979239,2.481027,5.7436,0.49863,-9999,4.136751,4.898821,3.304224,0.052814,-9999,-9999,-9999,-9999,-9999,-9999
69,Region 69,Unclassified regions,208,OFF,0.423572,2982,3000,0,6/5/2023, 12:38:41.0870,999,999,10588300.38,18,77.897581,3.926819,0.268036,0.4148,0.499457,0.672411,0,-90,0.550663,2.071,1.008064,1.066055,0.555103,0.8591,0.423572,-9999,3.785763,4.023164,3.637547,0.385617,-9999,-9999,-9999,-9999,-9999,-9999
71,Region 71,Unclassified regions,208,OFF,0.529588,3489,3544,0,6/5/2023, 12:39:41.2720,999,999,378265235.7,53,84.999474,5.000254,0.453445,1.4965,2.263081,25.738487,0,90,0.056869,6.294,50.185287,3.44553,2.853984,9.4189,0.529588,-9999,4.377014,5.249949,3.691742,-1.23107,-9999,-9999,-9999,-9999,-9999,-9999
74,Region 74,Unclassified regions,209,OFF,0.446104,2095,2185,0,6/5/2023, 12:53:39.7060,999,999,63404378.62,73,80.215659,6.343311,0.617271,1.4652,4.830236,6.975364,0,-90,6.085917,10.542,1.069235,1.626687,6.507273,15.4461,0.446104,-9999,5.818993,8.052821,3.084685,4.828126,-9999,-9999,-9999,-9999,-9999,-9999
77,Region 77,Unclassified regions,209,OFF,0.458617,2163,2191,0,6/5/2023, 12:53:44.0130,999,999,14828467,29,77.8857,6.958062,0.814985,0.8613,1.271817,1.420961,0,90,-2.672337,3.279,1,1.009906,2.672337,2.8243,0.458617,-9999,5.001483,5.746779,4.377053,-1.369727,-9999,-9999,-9999,-9999,-9999,-9999
93,Region 93,Unclassified regions,209,OFF,0.408877,2344,2914,0,6/5/2023, 12:54:36.1040,999,999,875739928.8,336,87.611972,7.51099,0.438638,2.125,6.562848,106.236076,0,90,-6.451383,65.992,4.486888,19.990261,28.94663,140.2355,0.408877,-9999,7.034499,10.007774,3.004955,-5.105333,-9999,-9999,-9999,-9999,-9999,-9999
97,Region 97,Unclassified regions,209,OFF,0.474535,2979,3065,0,6/5/2023, 12:55:21.6310,999,999,515810873.9,74,85.834455,4.567139,0.512062,1.262,5.753729,11.240012,0,90,-1.526238,9.848,3.304065,6.116595,5.04279,12.4279,0.474535,-9999,4.326436,5.149342,3.418266,-0.777894,-9999,-9999,-9999,-9999,-9999,-9999
98,Region 98,Unclassified regions,209,OFF,0.452826,4051,4256,0,6/5/2023, 12:57:32.8780,999,999,327339908.6,88,85.580888,8.414531,0.333043,0.6142,2.122951,10.916663,0,90,-3.857163,23.621,2.039532,2.906223,7.866805,14.5078,0.452826,-9999,7.676441,9.58531,4.580345,-2.205696,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,210,OFF,0.47313,0,27,0,6/5/2023, 12:57:46.3390,999,999,12471260.73,24,74.046075,5.524542,0.522037,0.985,1.189879,1.905562,0,-90,1.568472,3.035,1.010145,1.016953,1.584383,2.9896,0.47313,-9999,5.355781,5.886665,4.725074,1.161591,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,210,OFF,0.322666,46,253,0,6/5/2023, 12:58:02.0730,999,999,44187779.89,123,76.655639,11.134964,0.46511,4.1102,3.595434,112.0546,0,-90,7.129948,24.091,1.571537,6.55579,11.204977,99.0192,0.322666,-9999,9.766136,11.960583,6.416592,5.519999,-9999,-9999,-9999,-9999,-9999,-9999
