Region_ID,Region_name,Region_class,TAST_Status,Process_ID,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
10,Region 10,Unclassified regions,OFF,114,0.343778,1144,1277,0,5/31/2023, 23:25:55.0090,999,999,2021742969,100,92.83141,16.625542,0.4832,2.9515,1.896365,64.86478,0,-90,-0.013544,15.221,543.010787,4.237036,7.354793,44.9242,0.343778,-9999,16.149654,17.956478,13.130224,0.548469,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,OFF,160,0.427875,910,1042,0,6/1/2023, 00:29:24.5730,999,999,313506194,110,86.892034,8.873578,0.476572,1.6832,3.801896,17.192142,0,-90,4.277342,15.224,1.696225,2.486936,7.255333,25.6244,0.427875,-9999,8.112345,9.485386,6.037508,1.329635,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,OFF,159,0.437522,2577,2701,0,6/1/2023, 01:57:12.5420,999,999,1710358948,87,91.289404,12.860162,0.330729,5.2213,3.835682,134.244828,0,-90,0.029186,14.368,162.81678,5.747308,4.751913,75.0201,0.437522,-9999,10.294059,12.326772,9.252029,1.41023,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,158,0.37113,3549,3697,0,6/1/2023, 03:27:41.9070,999,999,1.14799E+12,99,119.508642,26.353875,0.779672,2.2583,1.668049,41.451379,0,90,-13.390865,17.175,1,2.464714,13.390865,38.7864,0.37113,-9999,22.191053,27.34457,19.180531,-8.121177,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,OFF,157,0.354572,0,96,0,6/1/2023, 03:27:56.1090,999,999,15878017312,67,101.469322,18.42335,0.363604,3.2328,1.539092,62.128848,0,90,-3.513245,10.97,1.135342,6.189188,3.988733,35.4642,0.354572,-9999,15.148362,19.308623,13.109404,-5.050796,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,157,0.451327,121,131,0,6/1/2023, 03:28:05.0710,999,999,77892287.91,11,86.089237,13.139141,0.864485,1.1235,1.319547,1.654745,0,90,-1.001938,1.159,1,1.013845,1.001938,1.3022,0.451327,-9999,11.175291,11.79766,10.522372,-1.275288,-9999,-9999,-9999,-9999,-9999,-9999
13,Region 13,Unclassified regions,OFF,156,0.485261,603,707,0,6/1/2023, 03:51:09.1300,999,999,3636702683,103,97.588882,15.970294,0.744056,1.6548,1.654326,14.493597,0,90,-8.897789,12.108,1.012502,1.352756,9.009032,20.0362,0.485261,-9999,14.434998,21.030102,8.364686,-12.665416,-9999,-9999,-9999,-9999,-9999,-9999
14,Region 14,Unclassified regions,OFF,155,0.335047,3238,3268,0,6/6/2023, 22:27:45.0770,999,999,22322774789,30,110.364018,25.592986,0.626535,1.294,1.091985,2.385595,0,90,-2.190366,3.496,1,1.010928,2.190366,4.5237,0.335047,-9999,19.846274,21.779888,17.607246,-4.172641,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,154,0.333151,2436,2457,0,6/6/2023, 22:56:25.1320,999,999,1794412467,21,95.86909,17.655012,0.423966,3.8079,0.681952,59.464439,0,-90,0.76401,2.406,1.335143,1.19241,1.020062,9.1619,0.333151,-9999,16.663248,17.802661,14.400732,3.401928,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,154,0.475556,2382,2391,0,6/6/2023, 22:56:18.2430,999,999,20636056,10,82.152489,11.104504,1.345934,1.3919,2.242812,2.301614,0,-90,1.375545,1.022,1,1.010294,1.375545,1.4226,0.475556,-9999,10.448231,11.097054,9.701149,1.395906,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,OFF,170,0.361546,948,1045,0,6/6/2023, 23:47:32.4760,999,999,49018627.3,58,79.92914,7.907725,0.321405,0.6386,2.645492,5.561277,0,90,-1.388918,11.045,2.555889,1.398662,3.549921,7.0535,0.361546,-9999,7.740244,8.543763,6.693045,-1.365329,-9999,-9999,-9999,-9999,-9999,-9999
21,Region 21,Unclassified regions,OFF,153,0.428409,995,1074,0,6/7/2023, 00:38:50.1240,999,999,1231302996,76,92.068425,17.065259,0.93174,6.5053,5.534299,117.030433,0,-90,7.204762,8.954,1.157956,6.288839,8.342798,58.2483,0.428409,-9999,15.774599,20.581675,10.528765,8.778496,-9999,-9999,-9999,-9999,-9999,-9999
23,Region 23,Unclassified regions,OFF,153,0.381879,1528,1601,0,6/7/2023, 00:39:50.9770,999,999,1129510234,53,94.655526,17.186492,0.61424,5.6937,0.984132,137.054172,0,90,-5.094614,8.463,1.020355,4.542929,5.198317,48.1856,0.381879,-9999,14.769382,19.356266,10.388315,-8.967951,-9999,-9999,-9999,-9999,-9999,-9999
24,Region 24,Unclassified regions,OFF,153,0.322263,1501,1503,0,6/7/2023, 00:39:43.8430,999,999,17136696.12,3,85.698515,12.918871,0.088605,0.3895,0.149661,0.643056,0,90,-0.020468,0.231,1,1.000036,0.020468,0.09,0.322263,-9999,10.247697,10.288841,10.219297,-0.069544,-9999,-9999,-9999,-9999,-9999,-9999
26,Region 26,Unclassified regions,OFF,153,0.380619,1508,1537,0,6/7/2023, 00:39:46.0910,999,999,92627720.34,26,83.835636,13.93331,0.676901,17.8049,2.804004,141.89203,0,-90,2.222942,3.284,1,25.421333,2.222942,58.4714,0.380619,-9999,12.086325,14.759451,10.018789,2.297408,-9999,-9999,-9999,-9999,-9999,-9999
28,Region 28,Unclassified regions,OFF,153,0.369435,1504,1525,0,6/7/2023, 00:39:45.1910,999,999,57571908.52,21,83.759367,14.161948,0.827664,27.4136,5.3869,116.046322,0,-90,1.657368,2.347,1.172055,4.868314,1.942526,64.3398,0.369435,-9999,11.52621,14.524788,9.194949,5.3197,-9999,-9999,-9999,-9999,-9999,-9999
29,Region 29,Unclassified regions,OFF,153,0.296626,1550,1614,0,6/7/2023, 00:39:52.9900,999,999,1196262914,50,94.358598,17.477986,0.304065,1.0196,1.468722,13.353787,0,-90,2.149171,7.358,1.041011,2.64603,2.237312,7.5021,0.296626,-9999,16.901939,17.973223,15.399608,2.573615,-9999,-9999,-9999,-9999,-9999,-9999
32,Region 32,Unclassified regions,OFF,152,0.401345,436,461,0,6/7/2023, 00:45:56.2000,999,999,46695391.08,20,82.588342,12.695049,1.316338,13.0559,4.676392,143.249947,0,-90,3.743665,2.844,1,8.709563,3.743665,37.1311,0.401345,-9999,10.452625,12.762458,8.521075,4.241382,-9999,-9999,-9999,-9999,-9999,-9999
33,Region 33,Unclassified regions,OFF,152,0.290746,3913,3971,0,6/7/2023, 00:52:38.4600,999,999,55548589468,51,112.674122,25.730439,0.317626,1.2015,0.676726,5.29358,0,-90,1.966891,6.633,1.071137,1.216037,2.10681,7.9696,0.290746,-9999,20.596086,23.085867,17.718039,5.367829,-9999,-9999,-9999,-9999,-9999,-9999
39,Region 39,Unclassified regions,OFF,151,0.440385,27,142,0,6/7/2023, 00:53:32.8360,999,999,3488270667,95,95.820932,17.366054,0.858525,1.4764,2.080415,10.649794,0,90,-11.217563,13.321,1.019509,1.478246,11.436406,19.6672,0.440385,-9999,16.176102,21.683625,8.575671,-13.107954,-9999,-9999,-9999,-9999,-9999,-9999
42,Region 42,Unclassified regions,OFF,150,0.426275,3894,3979,0,6/7/2023, 02:06:36.0440,999,999,8842297386,67,98.287261,16.870444,0.723941,4.0547,2.355873,106.515378,0,-90,7.094555,9.968,1.017153,3.847323,7.216246,40.4169,0.426275,-9999,14.994481,19.457772,9.629305,9.828466,-9999,-9999,-9999,-9999,-9999,-9999
46,Region 46,Unclassified regions,OFF,149,0.514057,84,132,0,6/7/2023, 02:07:21.9730,999,999,143848351,48,86.540696,13.706104,0.57493,9.6534,2.546708,153.837875,0,90,-2.88103,5.509,1.099359,2.911075,3.167288,53.1807,0.514057,-9999,10.49098,12.641774,8.197899,-3.224508,-9999,-9999,-9999,-9999,-9999,-9999
65,Region 65,Unclassified regions,OFF,149,0.378146,2044,2531,0,6/7/2023, 02:11:32.9500,999,999,3507702410,353,93.07425,16.313465,0.371535,1.0253,4.446696,27.2352,0,90,-3.54535,56.202,5.889695,16.150126,20.881031,57.6237,0.378146,-9999,15.42425,19.678161,6.8199,-2.389685,-9999,-9999,-9999,-9999,-9999,-9999
66,Region 66,Unclassified regions,OFF,148,0.630694,345,395,0,6/7/2023, 02:16:18.9460,999,999,59103858.84,51,83.659778,12.570154,0.978416,1.0943,1.529805,1.586746,0,-90,5.652307,5.777,1,1.015203,5.652307,6.3215,0.630694,-9999,12.197658,15.162576,9.044093,6.118484,-9999,-9999,-9999,-9999,-9999,-9999
67,Region 67,Unclassified regions,OFF,148,0.512685,902,963,0,6/7/2023, 02:17:23.5080,999,999,1334338988,57,93.820218,17.565365,0.918589,1.1949,2.185263,3.241803,0,90,-6.530644,7.114,1.000643,1.045591,6.534846,8.5006,0.512685,-9999,13.914235,18.109289,9.981707,-8.127582,-9999,-9999,-9999,-9999,-9999,-9999
69,Region 69,Unclassified regions,OFF,147,0.383365,2074,2204,0,6/7/2023, 02:28:19.5720,999,999,58882726865,125,110.188577,22.874336,0.464108,1.2719,1.114768,9.345749,0,90,-6.986681,15.054,1,1.093567,6.986681,19.1465,0.383365,-9999,20.363563,26.860469,13.779356,-13.081113,-9999,-9999,-9999,-9999,-9999,-9999
70,Region 70,Unclassified regions,OFF,146,0.591587,171,234,0,6/7/2023, 02:33:16.7270,999,999,371337102.3,63,87.396911,14.559255,1.103605,1.3888,2.436527,8.736686,0,-90,8.015483,7.263,1,1.086653,8.015483,10.0866,0.591587,-9999,13.936762,18.317044,9.215181,9.101863,-9999,-9999,-9999,-9999,-9999,-9999
74,Region 74,Unclassified regions,OFF,145,0.391831,943,1060,0,6/7/2023, 03:00:54.0950,999,999,26070921747,105,102.63991,20.141552,0.809068,1.49,2.977224,12.838244,0,-90,10.526838,13.445,1.033351,1.24038,10.877916,20.0328,0.391831,-9999,18.085508,25.556765,10.843974,14.712791,-9999,-9999,-9999,-9999,-9999,-9999
76,Region 76,Unclassified regions,OFF,145,0.346402,2029,2168,0,6/7/2023, 03:03:00.0800,999,999,1.43894E+11,131,113.238556,24.80163,0.455456,1.3402,1.391071,22.275146,0,90,-7.304406,16.088,1.003146,1.231145,7.327383,21.5617,0.346402,-9999,22.137582,28.830254,15.424356,-13.405898,-9999,-9999,-9999,-9999,-9999,-9999
78,Region 78,Unclassified regions,OFF,144,0.235038,3693,3795,0,6/7/2023, 03:23:57.8220,999,999,28827677982,55,106.013875,24.032058,0.437824,1.3465,2.245057,6.243838,0,90,-5.004154,11.79,1.031533,1.167792,5.161951,15.8749,0.235038,-9999,21.769426,26.251509,16.570846,-9.680663,-9999,-9999,-9999,-9999,-9999,-9999
79,Region 79,Unclassified regions,OFF,143,0.230779,356,419,0,6/7/2023, 14:04:32.7240,999,999,280622637,30,85.9602,11.259473,0.290043,5.4345,1.37304,133.59324,0,-90,1.917863,7.185,1.086604,2.390616,2.083959,39.0472,0.230779,-9999,8.968409,10.257945,7.101947,1.28807,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,OFF,142,0.403499,3821,3926,0,6/7/2023, 14:43:39.0580,999,999,530659299.6,71,87.489675,9.456949,0.804369,6.1703,3.234864,105.515259,0,90,-8.270855,12.157,1.182309,9.068449,9.778709,75.0127,0.403499,-9999,8.424119,13.670698,5.130234,-8.24931,-9999,-9999,-9999,-9999,-9999,-9999
9,Region 9,Unclassified regions,OFF,142,0.433146,4058,4083,0,6/7/2023, 14:44:01.8680,999,999,290955514.1,20,86.037259,4.161949,0.534144,1.4135,3.019155,6.637275,0,90,-0.673646,2.922,2.316898,1.711358,1.560768,4.1302,0.433146,-9999,3.684169,4.448133,2.76877,-1.546769,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,167,0.097892,531,630,0,6/7/2023, 14:45:24.8610,47.854321,-122.614846,221911921.4,60,85.439092,7.074598,0.355712,0.7195,1.515191,3.409438,252.934576,-4.483692,0.988228,11.309,4.070667,3.136944,4.022749,8.1369,0.378224,-9999,1.790481,2.016821,1.55047,0.202779,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,167,0.130547,2783,2898,0,6/7/2023, 14:49:44.7920,47.854321,-122.614846,1558200050,90,93.832881,15.99453,0.768537,7.3907,8.172521,78.166326,252.702469,-4.542502,6.769638,13.417,1.523192,11.010842,10.311457,99.1614,0.504395,-9999,3.783549,4.444388,3.170979,0.713247,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,141,0.462079,102,120,0,6/7/2023, 14:52:45.4640,999,999,187390669.5,19,85.273905,2.793079,0.195684,0.3168,0.935377,1.445361,0,-90,0.154633,2.125,2.689131,2.255512,0.415829,0.6731,0.462079,-9999,2.770564,2.859641,2.675786,0.183854,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,141,0.378769,414,534,0,6/7/2023, 14:53:27.1550,999,999,136476428,50,83.863775,5.258687,0.346085,0.9422,1.05132,9.661616,0,90,-1.313548,13.603,3.584029,5.217464,4.707794,12.8168,0.378769,-9999,4.867864,6.555096,4.125022,-2.156873,-9999,-9999,-9999,-9999,-9999,-9999
3,Region 3,Unclassified regions,OFF,140,0.616002,634,673,0,6/7/2023, 15:09:53.9500,999,999,225969675.4,32,85.940033,9.016224,1.046771,8.3323,3.32039,40.772541,0,90,-3.153788,4.5,1.493591,7.031728,4.710468,37.4953,0.616002,-9999,8.345977,10.356812,6.948752,-1.222344,-9999,-9999,-9999,-9999,-9999,-9999
4,Region 4,Unclassified regions,OFF,140,0.461621,1362,1370,0,6/7/2023, 15:11:15.8430,999,999,30088369.16,9,82.52808,2.920688,0.136159,0.4059,0.237315,0.532884,0,90,0.069538,0.968,1.895398,1.059253,0.131802,0.3929,0.461621,-9999,2.84984,2.865792,2.834146,-0.011487,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,OFF,140,0.387302,3090,3196,0,6/7/2023, 15:14:39.9500,999,999,129381235.1,67,84.215609,4.636885,0.399355,0.8316,0.882147,3.741078,0,90,-2.07936,12.154,2.334259,4.084236,4.853765,10.1078,0.387302,-9999,4.250584,6.222938,2.747643,-2.00322,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,OFF,139,0.428761,3129,3194,0,6/7/2023, 15:22:27.4690,999,999,310534881.8,39,85.461581,6.287176,0.793149,4.417,1.944038,53.085054,0,90,-3.168624,7.273,1.82053,9.043348,5.768575,32.1251,0.428761,-9999,5.969102,7.722706,3.661763,-2.166562,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,OFF,138,0.476863,1696,1707,0,6/7/2023, 15:27:24.2450,999,999,125356215.1,12,85.761202,2.375513,0.520112,0.6099,0.735014,1.194169,0,90,-0.65014,1.25,1,1.172499,0.65014,0.7624,0.476863,-9999,2.367185,2.706635,2.060418,-0.646218,-9999,-9999,-9999,-9999,-9999,-9999
10,Region 10,Unclassified regions,OFF,138,0.353156,1421,1452,0,6/7/2023, 15:26:53.5730,999,999,86725931.26,24,83.777887,8.290279,0.391363,2.452,0.743577,57.376274,0,90,0.412819,3.685,3.493479,1.485629,1.442173,9.0358,0.353156,-9999,6.880184,7.650534,5.91596,-0.737287,-9999,-9999,-9999,-9999,-9999,-9999
12,Region 12,Unclassified regions,OFF,137,0.402139,9,49,0,6/7/2023, 15:31:47.5230,999,999,86697811.88,32,84.676242,6.546421,0.425524,1.8053,3.484396,9.031819,0,-90,0.746974,4.512,2.570321,2.365983,1.919964,8.1454,0.402139,-9999,6.028782,6.83714,5.250835,0.662207,-9999,-9999,-9999,-9999,-9999,-9999
15,Region 15,Unclassified regions,OFF,137,0.612691,592,620,0,6/7/2023, 15:32:54.1430,999,999,183198036,26,84.556428,7.269047,1.265113,1.9513,2.563005,11.005713,0,90,-4.068602,3.216,1,1.508749,4.068602,6.2754,0.612691,-9999,6.864115,8.845788,5.224635,-3.621153,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,OFF,137,0.512053,1211,1272,0,6/7/2023, 15:34:07.2310,999,999,8579035059,60,103.017,19.636135,0.749181,2.5313,1.965724,18.696124,0,90,-5.191825,6.93,1,1.137049,5.191825,17.542,0.512053,-9999,17.657174,22.825403,12.139758,-10.685644,-9999,-9999,-9999,-9999,-9999,-9999
