taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius	Bullheads	3.31
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus hemilepidotus	Bullhead	1.65
Animalia;Chordata;Actinopteri;Perciformes;Niphonidae;Niphon;Niphon spinosus	Perch-like fishes	1.65
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres melanurus	Hoeven's wrasse	0.83
Animalia;Chordata;Mammalia;Rodentia;Heteromyidae;Perognathus;Perognathus longimembris	Little Pocket Mouse	4.96
Animalia;Chordata;Mammalia;Didelphimorphia;Didelphidae	American opossums	0.83
Animalia;Chordata;Chondrichthyes;Myliobatiformes	Stingrays	1.65
Animalia;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma	Smoothbelly darters	4.13
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus	Bullheads	1.65
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus	Bullhead	3.31
Animalia;Chordata;Actinopteri;Chaetodontiformes;Chaetodontidae;Chaetodon	Butterflyfishes	1.65
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Xenolumpenus;Xenolumpenus longipterus	Longwing eelblenny	0.83
Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Ardea;Ardea alba	American Egret	0.83
Animalia;Chordata;Actinopteri;Holocentriformes;Holocentridae	Soldierfishes	2.48
Animalia;Chordata;Mammalia;Rodentia;Heteromyidae	Kangaroo Mice	1.65
Animalia;Chordata;Mammalia;Chiroptera	Bats	3.31
Plantae;Chordata;Actinopteri;Perciformes;Liparidae;Liparis	Twayblade	0.83
Animalia;Chordata;Mammalia;Rodentia;Cricetidae;Nyctomys;Nyctomys sumichrasti	Sumichrast s Vesper Rat	3.31
Animalia;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Gila;Gila orcuttii	Arroyo Chub	0.83
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae	Pricklebacks	1.65
Animalia;Chordata;Amphibia;Caudata;Plethodontidae	Lungless Salamanders	1.65
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis gunnellus	Butter-fish	8.26
Animalia;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Amphelikturus;Amphelikturus dendriticus	Pipehorse	4.13
Animalia;Chordata;Actinopteri;Pleuronectiformes;Cyclopsettidae	Flatfishes	1.65
Animalia;Chordata;Actinopteri;Gobiiformes;Gobiidae	Goby	4.13
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	Pacific staghorn sculpin	1.65
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Phoca;Phoca groenlandica	Harp seal	0.83
Animalia;Chordata;Actinopteri;Perciformes;Agonidae;Agonopsis;Agonopsis vulsa	Northern spearnose poacher	0.83
Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus	Cat	0.83
