File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_2577,6/7/2023,2:45:16 PM,2:45:35 PM,2:49:35 PM,2:49:52 PM,,,,,,,,,00:36,35.80,OFF,Y,Appears to be feeding
May_24_2023_144714_2578,6/7/2023,2:52:41 PM,2:52:52 PM,2:52:53 PM,2:53:38 PM,,,,,,,,,00:56,56.30,OFF,Y,"High number of fish, seal or multiple seals are swimming through school then floating for a bit. "
May_24_2023_144714_2579,6/7/2023,3:06:25 PM,3:06:42 PM,,,,,,,,,,,00:17,17.40,OFF,Y,"Small but looks like a seal, swims at school of fish. Also two other points with very faint potential seals and fish reactions but didn't have certainty on the seals"
May_24_2023_144714_2580,6/7/2023,3:09:42 PM,3:10:04 PM,3:11:13 PM,3:11:17 PM,3:11:49 PM,3:12:01 PM,3:14:32 PM,3:14:55 PM,,,,,01:01,60.80,OFF,Y,Lots of feeding and potentially more time of seals. T3 has another bright spot that doesn’t move around really and then fades out. I think it is a tightly grouped clump of fish
May_24_2023_144714_2581,6/7/2023,3:21:37 PM,3:21:42 PM,3:22:19 PM,3:22:33 PM,,,,,,,,,00:19,18.70,OFF,Y,A couple other bright fast moving spots that only seem to move with the current so I did not include them
May_24_2023_144714_2582,6/7/2023,3:26:42 PM,3:26:56 PM,,,,,,,,,,,00:14,14.40,OFF,Y,Single hit of a school of fish
May_24_2023_144714_2583,6/7/2023,3:31:44 PM,3:32:21 PM,3:32:39 PM,3:32:56 PM,3:34:00 PM,3:34:11 PM,3:36:05 PM,3:36:34 PM,,,,,01:34,93.70,OFF,Y,Multiple swim throughs and swimming around schools of fish
May_24_2023_144714_2584,6/7/2023,3:40:46 PM,3:41:08 PM,3:42:14 PM,3:42:51 PM,3:45:57 PM,3:46:48 PM,,,,,,,01:48,107.90,OFF,Y,Seals float into view then turn on fish quick when they float close
May_24_2023_144714_2585,6/7/2023,3:49:38 PM,3:50:24 PM,3:53:18 PM,3:53:25 PM,3:53:35 PM,3:54:07 PM,,,,,,,01:25,84.90,OFF,Y,Seals would flash bright and hang around faint. Tough to get an accurate time. Also potentially predation in the bright schools of fish but couldn't be sure it was a seal
May_24_2023_144714_2586,6/7/2023,3:55:34 PM,3:55:46 PM,4:01:21 PM,4:01:42 PM,,,,,,,,,00:33,32.70,OFF,Y,Seal ended in frame but was very faint and just drifting. T2 is mostly faint drifting after an initial burst
May_24_2023_144714_2591,6/7/2023,4:31:47 PM,4:31:51 PM,4:31:57 PM,4:32:43 PM,,,,,,,,,00:49,49.20,OFF,Y,T1 could be other predator but I think T2 is a continuation and I feel like T2 is definitely seal
May_24_2023_144714_3782,6/13/2023,11:59:55 PM,12:00:04 AM,,,,,,,,,,,00:09,9.40,OFF,Y,Rockets through also had to hand input time because of UTC going to new day
May_24_2023_144714_3789,6/13/2023,12:50:34 AM,12:50:44 AM,,,,,,,,,,,00:10,9.60,OFF,Y,Just a single swim through. Low amount of fish presence
May_24_2023_144714_3799,6/13/2023,,,,,,,,,,,,,00:00,0.00,OFF,Y,Fast swim through at 02:00:26.7 But I don't think that it is a seal. Too small
May_24_2023_144714_3808,6/13/2023,2:57:36 AM,2:57:45 AM,2:58:08 AM,2:58:11 AM,,,,,,,,,00:12,12.20,OFF,Y,Pretty small but movement looks to be right. Quick swim throughs
