"Region_ID","Region_name","Region_class","Process_ID","Height_mean","Ping_S","Ping_E","Dist_M","Date_M","Time_M","Lat_M","Lon_M","Standard_deviation","Num_targets","TS_mean","Target_range_mean","Speed_2D_mean_unsmoothed","Speed_4D_mean_unsmoothed","Speed_2D_max_unsmoothed","Speed_4D_max_unsmoothed","Direction_horizontal","Direction_vertical","Fish_track_change_in_range","Time_in_beam","Tortuosity_2D","Tortuosity_3D","Distance_2D_unsmoothed","Distance_3D_unsmoothed","Thickness_mean","Exclude_below_line_range_mean","Target_depth_mean","Target_depth_max","Target_depth_min","Fish_track_change_in_depth","Region_bottom_altitude_min","Region_bottom_altitude_max","Region_bottom_altitude_mean","Region_top_altitude_min","Region_top_altitude_max","Region_top_altitude_mean"
32,"Region 32","Unclassified regions",193,0.572982,2202,2243,0,20230601," 04:43:02.7920",999,999,1133430237.51927,42,89.397918,15.208204,1.082411,1.4522,2.588573,3.084047,0,90,-4.988094,4.864,1.055483,1.414903,5.264849,7.0637,0.572982,-9999,11.353151,12.843702,9.208099,-3.314502,-9999,-9999,-9999,-9999,-9999,-9999
34,"Region 34","Unclassified regions",193,0.294341,2723,2858,0,20230601," 04:44:08.5040",999,999,17580185819.4191,89,102.919552,20.483304,0.354245,1.8196,1.534102,15.934628,0,-90,4.76231,15.571,1.15825,2.254933,5.515944,28.3337,0.294341,-9999,16.524872,22.69547,13.923751,8.75734,-9999,-9999,-9999,-9999,-9999,-9999
40,"Region 40","Unclassified regions",193,0.328645,3616,3823,0,20230601," 04:45:55.1860",999,999,1227692104.79284,87,90.477986,14.216829,0.359098,0.6857,1.186269,2.825755,0,90,1.887652,23.84,4.535211,2.142902,8.560898,16.347,0.328645,-9999,12.19764,15.168625,9.872985,-1.025813,-9999,-9999,-9999,-9999,-9999,-9999
47,"Region 47","Unclassified regions",193,0.277071,3031,3189,0,20230601," 04:44:45.3450",999,999,478307314.251173,27,88.005389,15.266326,0.135132,0.686,0.814186,12.253504,0,90,-2.001035,18.123,1.223869,5.637836,2.449003,12.4331,0.277071,-9999,14.723074,15.839151,13.391442,-1.923377,-9999,-9999,-9999,-9999,-9999,-9999
48,"Region 48","Unclassified regions",194,0.165487,733,735,0,20230601," 05:13:46.9960",999,999,11828215332.392,3,114.321819,27.135401,0.740733,0.7868,0.776028,0.864164,0,90,-0.155554,0.21,1,1.045819,0.155554,0.1652,0.165487,-9999,25.794514,25.866534,25.727209,-0.139325,-9999,-9999,-9999,-9999,-9999,-9999
55,"Region 55","Unclassified regions",194,0.337198,745,949,0,20230601," 05:13:59.9430",999,999,99969510783.563,112,109.273167,23.142554,0.493812,1.2003,2.464627,17.174898,0,90,-5.427362,23.372,2.126516,2.212343,11.541374,28.0537,0.337198,-9999,22.657905,25.444071,20.330356,-4.607349,-9999,-9999,-9999,-9999,-9999,-9999
60,"Region 60","Unclassified regions",194,0.266194,1748,1995,0,20230601," 05:15:57.7790",999,999,397835397100.81,109,114.255721,25.580751,0.447914,4.0818,1.789093,96.268868,0,90,5.2686,28.384,2.413086,6.205738,12.713585,115.8572,0.266194,-9999,23.566413,26.138573,17.064667,-2.175625,-9999,-9999,-9999,-9999,-9999,-9999
67,"Region 67","Unclassified regions",195,0.386378,2309,2571,0,20230601," 05:33:45.9020",999,999,133790265655.414,220,112.322403,23.23753,0.475939,1.4834,4.161599,15.028959,0,90,-5.397657,30.064,2.650898,1.304001,14.308636,44.5978,0.386378,-9999,20.829336,25.482368,16.451813,-8.437158,-9999,-9999,-9999,-9999,-9999,-9999
71,"Region 71","Unclassified regions",196,0.455481,732,958,0,20230605," 07:04:21.7510",999,999,1296236324.72498,215,92.634855,13.414815,0.407652,1.6319,1.746417,41.06356,0,90,-5.034177,25.98,2.103779,1.849601,10.590796,42.3974,0.455481,-9999,11.691924,13.420988,9.26044,-4.131857,-9999,-9999,-9999,-9999,-9999,-9999
72,"Region 72","Unclassified regions",197,0.304844,1805,1807,0,20230605," 07:33:07.6810",999,999,265146797786.714,3,122.794468,31.05176,0.18879,0.257,0.2228,0.367222,0,-90,0.043422,0.23,1,1.122883,0.043422,0.0591,0.304844,-9999,30.077209,30.093917,30.059259,0.034658,-9999,-9999,-9999,-9999,-9999,-9999
73,"Region 73","Unclassified regions",197,0.317396,1773,1891,0,20230605," 07:33:10.6780",999,999,2220280190093.56,82,125.152783,30.060867,0.225452,1.5261,0.905472,9.78012,0,90,-2.483846,13.608,1.235159,1.164107,3.067946,20.7678,0.317396,-9999,27.218502,31.225995,21.718707,-9.507289,-9999,-9999,-9999,-9999,-9999,-9999
78,"Region 78","Unclassified regions",197,0.468602,2051,2239,0,20230605," 07:33:47.0240",999,999,19370615292.4173,160,104.918164,20.935859,0.467741,1.2482,2.236611,5.922703,0,90,-6.582095,21.874,1.554423,1.096227,10.23136,27.304,0.468602,-9999,19.261367,25.137695,13.756845,-11.38085,-9999,-9999,-9999,-9999,-9999,-9999
82,"Region 82","Unclassified regions",198,0.209709,2721,2914,0,20230605," 08:09:57.9850",999,999,122572115457.971,50,114.311854,26.805363,0.133351,1.1831,0.656082,5.156071,0,90,2.511346,22.13,1.175092,1.243626,2.951062,26.1823,0.209709,-9999,23.443446,25.676683,21.946246,-3.15988,-9999,-9999,-9999,-9999,-9999,-9999
83,"Region 83","Unclassified regions",198,0.210463,3328,3446,0,20230605," 08:11:03.6160",999,999,38751427629.3749,21,111.060277,25.539383,0.108688,1.8699,0.824497,5.857964,0,-90,0.387071,13.616,3.823331,1.077579,1.4799,25.4611,0.210463,-9999,20.878994,24.944849,18.973461,5.944223,-9999,-9999,-9999,-9999,-9999,-9999
85,"Region 85","Unclassified regions",199,0.417229,2988,3080,0,20230605," 08:36:58.6440",999,999,49863886.0064412,82,78.116244,6.250423,0.40028,0.9326,3.032965,6.687538,0,-90,3.816097,10.531,1.104624,2.055038,4.215351,9.8214,0.417229,-9999,5.004363,5.666993,4.066806,1.510072,-9999,-9999,-9999,-9999,-9999,-9999
86,"Region 86","Unclassified regions",199,0.384476,3134,3175,0,20230605," 08:37:12.4890",999,999,146822773.545632,14,82.589886,4.758137,0.063333,0.7352,0.731274,6.153587,0,-90,-0.077413,4.838,3.958084,1.819353,0.306406,3.5567,0.384476,-9999,3.913278,4.432137,3.454506,0.971545,-9999,-9999,-9999,-9999,-9999,-9999
93,"Region 93","Unclassified regions",200,0.397275,1601,1978,0,20230605," 08:52:03.8360",999,999,159982116.977786,188,80.967263,7.068679,0.1505,1.2063,2.18369,57.156036,0,-90,0.248702,43.184,26.132367,4.652409,6.499172,52.0939,0.397275,-9999,6.045334,7.837154,5.009192,0.201472,-9999,-9999,-9999,-9999,-9999,-9999
97,"Region 97","Unclassified regions",201,0.307127,3322,3817,0,20230605," 10:13:57.1640",999,999,266130410.087381,102,84.658263,6.466337,0.057918,0.1661,1.796611,4.164329,0,90,-2.351963,56.959,1.402627,4.022586,3.298925,9.4618,0.307127,-9999,5.34614,6.721029,3.469306,-1.605561,-9999,-9999,-9999,-9999,-9999,-9999
98,"Region 98","Unclassified regions",202,0.431136,239,277,0,20230605," 10:33:22.1470",999,999,36290344168.0112,38,109.316927,25.111237,0.598132,1.2305,1.479799,3.483975,0,90,-1.885708,4.366,1.384862,1.11017,2.611445,5.3725,0.431136,-9999,24.760763,26.534295,23.817157,-2.595703,-9999,-9999,-9999,-9999,-9999,-9999
5,"Region 5","Unclassified regions",203,0.354753,556,1211,0,20230605," 10:43:01.9890",999,999,456959288.503388,320,84.474098,8.882672,0.300801,0.9241,3.222453,65.236854,0,-90,0.758069,75.742,30.054306,41.070323,22.783242,69.9916,0.354753,-9999,8.614495,13.098167,3.761787,0.786487,-9999,-9999,-9999,-9999,-9999,-9999
8,"Region 8","Unclassified regions",204,0.487915,0,133,0,20230605," 10:58:27.9100",999,999,179231136.639054,117,82.97861,10.943914,0.603236,3.1685,2.829331,92.151359,0,90,-9.171941,15.258,1.003515,3.013648,9.20418,48.345,0.487915,-9999,8.501601,14.553432,4.987578,-6.948587,-9999,-9999,-9999,-9999,-9999,-9999
25,"Region 25","Unclassified regions",205,0.358479,2733,3003,0,20230605," 12:03:33.9340",999,999,831095039.519277,189,88.185098,11.187685,0.472561,7.8508,6.926513,112.266315,0,-90,6.98377,30.997,2.09743,21.557804,14.647971,243.3519,0.358479,-9999,10.022212,14.689238,6.257763,7.376922,-9999,-9999,-9999,-9999,-9999,-9999
26,"Region 26","Unclassified regions",206,0.42042,1877,2010,0,20230605," 12:19:36.0000",999,999,553387071.033354,112,86.772107,8.746594,0.470704,1.5667,4.095951,21.709953,0,-90,-2.374999,15.153,3.003194,2.794528,7.132582,23.7409,0.42042,-9999,7.699568,9.672638,5.986164,0.319388,-9999,-9999,-9999,-9999,-9999,-9999
28,"Region 28","Unclassified regions",206,0.541476,2144,2309,0,20230605," 12:20:08.4910",999,999,904379222.574099,147,87.543578,10.038613,0.630551,3.8976,4.003677,141.775596,0,90,-2.962848,18.817,4.00462,6.448307,11.865079,73.342,0.541476,-9999,8.734986,12.419189,6.168642,-1.750248,-9999,-9999,-9999,-9999,-9999,-9999
42,"Region 42","Unclassified regions",206,0.53284,3625,3689,0,20230605," 12:22:52.0520",999,999,79253917.6802791,62,80.806866,9.010589,0.810798,4.5709,3.879334,120.17386,0,90,-5.351207,7.351,1.113801,5.818793,5.960179,33.601,0.53284,-9999,6.679916,10.515677,5.431986,-2.665201,-9999,-9999,-9999,-9999,-9999,-9999
48,"Region 48","Unclassified regions",206,0.523768,3840,4055,0,20230605," 12:23:25.2640",999,999,1280034980.29361,191,87.810902,10.996074,0.534127,2.6868,1.725476,84.188798,0,90,-1.316628,24.583,9.972787,3.887017,13.130451,66.049,0.523768,-9999,9.42216,11.668544,5.984571,-0.009293,-9999,-9999,-9999,-9999,-9999,-9999
54,"Region 54","Unclassified regions",207,0.512692,1292,1390,0,20230605," 12:27:18.7740",999,999,-9999,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.512692,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
59,"Region 59","Unclassified regions",207,0.46339,1510,1605,0,20230605," 12:27:43.3050",999,999,48069802.4880381,72,77.734392,4.908712,0.567136,1.9569,2.648681,30.84164,0,-90,3.735024,10.863,1.649467,4.182919,6.1608,21.2581,0.46339,-9999,4.601863,7.008869,2.237494,3.74587,-9999,-9999,-9999,-9999,-9999,-9999
