Region_ID,Region_name,Region_class,Process_ID,TAST_Status,Height_mean,Ping_S,Ping_E,Dist_M,Date_M,Time_M,Lat_M,Lon_M,Standard_deviation,Num_targets,TS_mean,Target_range_mean,Speed_2D_mean_unsmoothed,Speed_4D_mean_unsmoothed,Speed_2D_max_unsmoothed,Speed_4D_max_unsmoothed,Direction_horizontal,Direction_vertical,Fish_track_change_in_range,Time_in_beam,Tortuosity_2D,Tortuosity_3D,Distance_2D_unsmoothed,Distance_3D_unsmoothed,Thickness_mean,Exclude_below_line_range_mean,Target_depth_mean,Target_depth_max,Target_depth_min,Fish_track_change_in_depth,Region_bottom_altitude_min,Region_bottom_altitude_max,Region_bottom_altitude_mean,Region_top_altitude_min,Region_top_altitude_max,Region_top_altitude_mean
4,Region 4,Unclassified regions,295,ON,0.347899,910,1006,0,20230613, 07:35:55.8890,999,999,978128649.3,86,90.650527,14.583702,0.496455,4.6129,1.869061,132.984912,0,-90,0.142588,10.397,36.199676,3.212313,5.161647,47.9607,0.347899,-9999,11.504369,15.669141,10.699037,4.794174,-9999,-9999,-9999,-9999,-9999,-9999
5,Region 5,Unclassified regions,296,ON,0.54231,1440,1492,0,20230613, 08:25:26.7860,999,999,26223362.91,49,76.106441,4.649582,0.750852,1.8166,2.613244,9.510744,0,-90,0.912947,5.681,4.672329,1.270732,4.265588,10.3201,0.54231,-9999,3.999373,4.790663,3.547207,1.044666,-9999,-9999,-9999,-9999,-9999,-9999
6,Region 6,Unclassified regions,297,ON,0.515003,1666,1696,0,20230613, 09:53:23.5000,999,999,171242022.7,31,84.05374,7.505225,0.169236,1.3649,0.410432,4.81627,0,90,-0.020298,3.309,27.589578,1.014051,0.56,4.5166,0.515003,-9999,6.322179,7.444958,5.245919,-2.193858,-9999,-9999,-9999,-9999,-9999,-9999
7,Region 7,Unclassified regions,298,ON,0.487053,2938,2962,0,20230613, 10:16:59.1720,999,999,9127778.277,25,74.881273,6.28265,0.585151,0.6265,0.964615,0.988015,0,-90,1.53368,2.621,1,1.047924,1.53368,1.642,0.487053,-9999,5.089916,5.731907,4.288066,1.421879,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,299,ON,0.425012,908,939,0,20230613, 11:06:41.4680,999,999,638767010.7,24,89.31865,12.256266,1.045581,9.4491,2.467913,39.374592,0,90,-2.314596,3.429,1.548995,1.790638,3.585298,32.4009,0.425012,-9999,9.899347,10.995534,7.920393,-2.128383,-9999,-9999,-9999,-9999,-9999,-9999
8,Region 8,Unclassified regions,311,ON,0.473208,383,466,0,20230614, 18:09:19.4000,999,999,3929932007,58,94.625639,17.355753,1.384576,20.5625,5.618805,155.562972,0,90,-11.02485,9.077,1.139952,12.121094,12.567798,186.6454,0.473208,-9999,15.707333,23.966376,9.458551,-14.507825,-9999,-9999,-9999,-9999,-9999,-9999
16,Region 16,Unclassified regions,312,ON,0.342634,2775,2935,0,20230615, 00:23:16.1720,999,999,140184295.5,94,82.11779,12.334205,0.32126,5.837,1.458832,86.175399,0,-90,3.143081,18.786,1.920149,19.323668,6.035183,109.6534,0.342634,-9999,11.246213,13.680867,7.732621,0.663716,-9999,-9999,-9999,-9999,-9999,-9999
17,Region 17,Unclassified regions,313,ON,0.432673,398,431,0,20230615, 02:42:51.3300,999,999,6756229.479,30,71.243273,2.84761,0.447043,0.9016,1.020138,2.761187,0,90,-1.663825,3.838,1.031209,1.178892,1.715751,3.4604,0.432673,-9999,2.748634,3.786086,1.894605,-1.891481,-9999,-9999,-9999,-9999,-9999,-9999
18,Region 18,Unclassified regions,313,ON,0.444854,478,517,0,20230615, 02:43:00.8900,999,999,15157542.75,39,74.006936,6.391308,0.1674,0.9591,0.67984,4.240569,0,-90,0.304314,4.45,2.447901,1.059573,0.744931,4.2678,0.444854,-9999,5.854823,6.599311,4.771238,1.705819,-9999,-9999,-9999,-9999,-9999,-9999
1,Region 1,Unclassified regions,314,ON,0.324404,1583,1641,0,20230615, 05:20:39.5660,999,999,6806222310,51,102.249368,22.304485,0.730702,1.071,1.670853,3.541036,0,90,-4.799984,6.569,1,1.054817,4.799984,7.0357,0.324404,-9999,17.29366,20.588198,13.931695,-6.656502,-9999,-9999,-9999,-9999,-9999,-9999
