taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Ophiodon;Ophiodon elongatus	Lingcod	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Parophrys;Parophrys vetulus	English Sole	5.69
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus borealis	Northern sculpin	4.07
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes;Lycodes mcallisteri	Eelpouts	0.81
Animalia;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo	Domestic Turkey	4.07
Animalia;Chordata;Actinopteri;Perciformes;Bathymasteridae;Bathymaster;Bathymaster caeruleofasciatus	Alaskan ronquil	0.81
Animalia;Chordata;Actinopteri;Perciformes;Pholidae	Gunnels	6.5
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius harringtoni	Scalyhead sculpin	4.07
Animalia;Chordata;Amphibia;Anura;Megophryidae	Frogs	8.13
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae	Rabbitfishes	4.07
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae	Eelpouts	1.63
Animalia;Chordata;Aves;Galliformes;Phasianidae	Grouse	4.88
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch	Coho salmon	5.69
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Enophrys;Enophrys bison	Buffalo sculpin	7.32
Animalia;Chordata;Chondrichthyes	Chordates	4.07
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis	Gunnels	6.5
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus	Bullheads	0.81
Animalia;Chordata;Mammalia;Macroscelidea;Macroscelididae;Elephantulus;Elephantulus fuscipes	Dunkelful 3 - Elefantenspitzmaus	0.81
Animalia;Chordata;Actinopteri;NA;Embiotocidae;Cymatogaster;Cymatogaster aggregata	Shiner perch	7.32
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Microstomus;Microstomus pacificus	Dover Sole	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Artedius;Artedius fenestralis	Padded sculpin	2.44
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus	Daddy sculpins	4.88
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys	Right-eye flounders	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus lampretaeformis	Snake Blenny	3.25
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae	Pricklebacks	5.69
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus poecilopus	Alpine bullhead	2.44
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodes	Eelpouts	0.81
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Phoca	Hair seals	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Myoxocephalus;Myoxocephalus quadricornis	Four-horned sculpin	4.07
Animalia;Chordata;Actinopteri;Cypriniformes;Nemacheilidae;Barbatula;Barbatula barbatula	European Stone Loach	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;Sebastes nebulosus	China rockfish	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Gadidae;Gadus;Gadus morhua	Arctic Cod	1.63
Animalia;Chordata;Actinopteri;Gadiformes	Cods	1.63
Animalia;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres inornatus	Cape wrasse	0.81
Animalia;Chordata;Mammalia;Carnivora;Phocidae	Earless seals	0.81
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos	Greenlings	0.81
Animalia;Chordata;Mammalia;Carnivora	Carnivores	0.81
Animalia;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius	Hakes	1.63
Animalia;Chordata;Actinopteri;Gadiformes;Merlucciidae;Merluccius;Merluccius productus	North Pacific hake	1.63
Animalia;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycodopsis;Lycodopsis pacificus	Eelpouts	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes	Rockcod	1.63
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis nebulosa	Tidepool gunnel	1.63
Animalia;Chordata;Chondrichthyes;Squaliformes	Dogfish sharks	4.88
Plantae;Chordata;Actinopteri;Perciformes;Liparidae;Liparis	Twayblade	2.44
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	Pacific staghorn sculpin	2.44
Animalia;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis gunnellus	Butter-fish	3.25
Animalia;Chordata;Actinopteri;Gobiiformes	Chordates	0.81
Animalia;Chordata;Actinopteri;Tetraodontiformes;Diodontidae	Balloonfishes	1.63
Animalia;Chordata;Actinopteri;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus gorbuscha	Pink Salmon (Gorbuscha Salmon)	1.63
Animalia;Chordata;Actinopteri;Clupeiformes;Engraulidae;Engraulis	Anchovies	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Chirolophis	Warbonnets	0.81
Animalia;Chordata;Mammalia;Chiroptera	Bats	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus	Bullheads	0.81
Animalia;Chordata;Actinopteri;Perciformes;Hexagrammidae;Hexagrammos;Hexagrammos stelleri	Whitespotted greenling	0.81
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Leptoclinus;Leptoclinus maculatus	Daubed shanny	0.81
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Kareius;Kareius bicoloratus	Ishigarei	0.81
Animalia;Chordata;Mammalia;Artiodactyla;Balaenopteridae;Balaenoptera	Japanese lanterns	0.81
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus	Cabezon	0.81
Animalia;Chordata;Actinopteri;Perciformes;Sebastidae	Rockfishes, Rockcods And Thornyheads	1.63
Animalia;Chordata;Actinopteri;Perciformes;Stichaeidae;Opisthocentrus;Opisthocentrus zonope	Seaweed gunnel	0.81
