taxonomy,number_of_samples_observed,total_reads_observed_across_dataset
Chromista;NA;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium pellucidum,4,4
Animalia;Nemertea;Palaeonemertea;Tubulaniformes;Tubulanidae;Carinina,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Parasphingorhabdus;Parasphingorhabdus flavimaris,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Pleurotus;Pleurotus citrinopileatus,4,2959
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae,11,4451
Chromista;NA;Bigyra;Labyrinthulida;Labyrinthulaceae;Labyrinthula,18,18
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales,8,8
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus;Ostreococcus sp. 'lucimarinus',3,3
Chromista;NA;Phaeophyceae;Fucales;Sargassaceae;Sargassum,2,2
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia lysiphloia,1,1
Plantae;Rhodophyta;Florideophyceae;Acrochaetiales;Acrochaetiaceae,1,1
Chromista;Ciliophora;Prostomatea;Prorodontida;Holophryidae;Pelagothrix;Pelagothrix alveolata,1,1
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. MBIC10513,1,1
Plantae;Rhodophyta;Florideophyceae;Peyssonneliales;Peyssonneliaceae,2,2
Protozoa;NA;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca amphoridium,7,7
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae;Amphidiniopsis;Amphidiniopsis sp. MH-2016,5,5
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Limanda;Limanda limanda,1,1
Chromista;NA;Cryptophyceae;Cyathomonadacea;Goniomonadaceae;Goniomonas,1,1
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae,49,3964
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya,4,4
Chromista;NA;Bigyra;Opalinata;Blastocystidae;Blastocystis,6,6
Protozoa;Euglenozoa;Euglenida;NA;NA;Neometanema;Neometanema larsenii,2,14
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Polytomella,1,1
Bacteria;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;NA;Planctomycetaceae bacterium,5,5
Animalia;Chordata;Ascidiacea;Stolidobranchia;Pyuridae,5,5
Plantae;Streptophyta;Jungermanniopsida;Porellales;Lejeuneaceae;Lepidolejeunea,2,2
Chromista;NA;Dinophyceae;Suessiales;Symbiodiniaceae,19,19
Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales,3,3
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;NA;NA;Arthoniales sp.,3,311
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae,3,3
Animalia;Chordata;Actinopteri;Uranoscopiformes;Ammodytidae,5,5
Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella gelidii,4,4
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aminobacter;Aminobacter sp. MDW-2,3,3
Plantae;Chlorophyta;Chlorophyceae;Chaetophorales,4,4
Protozoa;Discosea;NA;Longamoebia,4,4
Animalia;Arthropoda;Hexanauplia;Calanoida;Centropagidae;Sinocalanus;Sinocalanus sp.,5,5
Chromista;Perkinsozoa;NA;Perkinsida;Perkinsidae;Perkinsus,2,2
Plantae;Chlorophyta;Trebouxiophyceae;Watanabeales;NA;Chloroidium,2,2
Protozoa;NA;Ichthyosporea;Ichthyophonida;NA;Anurofeca;Anurofeca richardsi,1,1
Bacteria;Acidobacteria;Acidobacteriia;Bryobacterales;NA;NA;Bryobacterales bacterium F-183,3,4
Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Candidatus Rickettsia Torix (Bemisia tabaci),2,2
Chromista;Bacillariophyta;Fragilariophyceae;Licmophorales;Ulnariaceae;Ulnaria;Ulnaria ulna,2,2
Chromista;Haptophyta;NA;Isochrysidales;Isochrysidaceae;Isochrysis,1,1
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Coleanthus;Coleanthus subtilis,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium loti,2,2
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus brasiliensis,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Ferrovibrio;Ferrovibrio xuzhouensis,4,4
Chromista;Haptophyta;NA;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium polylepis,2,2
Fungi;Ascomycota;Leotiomycetes;Helotiales;Discinellaceae;Lemonniera;Lemonniera terrestris,1,1
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas pusilla,10,10
Animalia;Rotifera;Eurotatoria;Ploima;Gastropidae;Ascomorpha;Ascomorpha ecaudis,7,7
Chromista;Ciliophora;Heterotrichea;Heterotrichida;Fabreidae;Fabrea;Fabrea salina,8,8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium sp. HDQ-01,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium sp. MP3,2,2
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Bradymyces,1,1
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus caninus,1,1
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus,3,3
Protozoa;NA;Choanoflagellata;Acanthoecida;Stephanoecidae,11,11
Protozoa;Discosea;Flabellinia;NA;Vannellidae;Ripella;Ripella platypodia,1,1
Plantae;Streptophyta;Magnoliopsida;Zingiberales;Marantaceae,1,1
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys;Diophrys oligothrix,6,6
Chromista;Foraminifera;NA;Textulariida;Textulariidae;Textularia;Textularia agglutinans,1,1
Animalia;Porifera;Demospongiae;Spongillida;Spongillidae;Ephydatia,1,1
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Scenedesmaceae,4,4
Chromista;NA;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas;Chroomonas caudata,1,1
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Lichomolgidae;Lichomolgus;Lichomolgus marginatus,1,1
Animalia;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae,7,7
Animalia;Arthropoda;Insecta;Hemiptera;Reduviidae;NA;Reduviidae sp.,1,1
Fungi;Basidiomycota;Agaricomycetes;Trechisporales;NA;Sistotremastrum;Sistotremastrum guttuliferum,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Trisetum;Trisetum preslii,2,2
Animalia;Cnidaria;Anthozoa;Pennatulacea;Virgulariidae;Acanthoptilum;Acanthoptilum sp.,1,1
Fungi;Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium limoniforme,34,164
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Epicoccum;Epicoccum sorghinum,3,3
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Capronia;Capronia leucadendri,4,4
Protozoa;Euglenozoa;Kinetoplastea;Trypanosomatida;Trypanosomatidae,4,8
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina simplex,7,7
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;Thalassiosira profunda,21,118
Plantae;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Gossypium;Gossypium bickii,2,2
Fungi;Basidiomycota;Agaricomycetes;Agaricales,26,1873
Bacteria;Pseudomonadota;Gammaproteobacteria;NA;NA;Candidatus Ovatusbacter;Candidatus Ovatusbacter abovo,1,1
Protozoa;Endomyxa;Ascetosporea;Haplosporida;Haplosporidiidae;Haplosporidium;Haplosporidium diporeiae,1,1
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida/Saccharomycetales;[Candida] blankii,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Lacipirellulaceae,3,3
Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Hannaella;Hannaella pagnoccae,1,1
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Thermoguttaceae;Thermogutta;Thermogutta terrifontis,1,1
Animalia;Arthropoda;Insecta;Hymenoptera;Diprionidae,2,3
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Piskurozymaceae;Solicoccozyma;Solicoccozyma terrea,2,11
Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira,7,7
Chromista;Oomycota;NA;Pythiales;Pythiaceae;Phytopythium;Phytopythium vexans,5,5
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Sulfitobacter;Sulfitobacter sp.,3,3
Animalia;Arthropoda;Diplopoda,6,1198
Plantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea,17,22
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Spumella;Spumella lacusvadosi,14,446
Bacteria;Pseudomonadota;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio;Desulfurivibrio alkaliphilus,2,2
Animalia;Ctenophora;Nuda;Beroida;Beroidae;Beroe;Beroe forskalii,3,3
Animalia;Arthropoda;Insecta;Psocoptera,1,1
Chromista;Ciliophora;Litostomatea;Haptorida;Trachelophyllidae;Foissnerides;Foissnerides sp.,1,1
Chromista;Ciliophora;Litostomatea;Haptorida;Dileptidae;Dileptus;Dileptus sp. FG-2015,1,1
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gymnodinium instriatum,8,8
Chromista;Ciliophora;Spirotrichea;NA;Tontoniidae;Pseudotontonia;Pseudotontonia sp. JG-2011a,25,25
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella,40,2038
Animalia;Mollusca;Gastropoda;Trochida,2,2
Animalia;Chaetognatha;Sagittoidea;Phragmophora;Spadellidae;Spadella,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Dalbergia;Dalbergia lanceolaria,3,3
Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Mariniblastus;Mariniblastus fucicola,52,3959
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae;Euplotes;Euplotes woodruffi,1,1
Fungi;Mucoromycota;Glomeromycetes;Glomerales;Glomeraceae;Septoglomus;Septoglomus sp. ZS-2014,3,3
Chromista;Ciliophora;Spirotrichea;Euplotida;Euplotidae,7,7
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales,6,163
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Palleronia;Palleronia sediminis,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas sp. WJ14,1,1
Protozoa;Evosea;NA;Mastigamoebida;Mastigamoebidae;Mastigamoeba;Mastigamoeba balamuthi,1,1
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida,1,1
Animalia;Porifera,1,1
Protozoa;Euglenozoa;Kinetoplastea,75,6963
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;NA;Paracoccaceae bacterium,1,1
Chromista;Ciliophora;Litostomatea;Cyclotrichida;Mesodiniidae;Mesodinium;Mesodinium sp.,19,19
Animalia;Arthropoda;Insecta;Coleoptera;Coccinellidae;Naemia;Naemia seriata,1,1
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Trachelostylidae;Cotterillia;Cotterillia bromelicola,1,1
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Vorticellidae;Apocarchesium;Apocarchesium rosettum,3,80
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium patagonica,3,3
Protozoa;Euglenozoa;Kinetoplastea;Neobodonida;NA;Rhynchobodo;Rhynchobodo sp. Hamilton Lake,1,1
Chromista;NA;Synurophyceae;Synurales;Mallomonadaceae;Synura;Synura sphagnicola,11,98
Chromista;Haptophyta;NA;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina sp. NIES-1333,3,3
Chromista;Ciliophora;NA;NA;NA;Cryptocaryon;Cryptocaryon irritans,4,4
Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Homarus;Homarus americanus,1,1
Animalia;Cnidaria;Hydrozoa;Siphonophorae;Resomiidae;Resomia;Resomia ornicephala,3,3
Animalia;Annelida;Polychaeta;NA;Nerillidae;Mesonerilla;Mesonerilla sp. A MJH-2022,1,1
Chromista;Ciliophora;Oligohymenophorea;Hymenostomatida;Tetrahymenidae;Tetrahymena,43,590
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Schizophyllaceae;Schizophyllum,2,11
Plantae;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula pacifica,3,3
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales;Staurosiraceae,2,2
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula mucilaginosa,1,1
Plantae;Streptophyta;Magnoliopsida;Santalales;Loranthaceae;Loranthus;Loranthus tanakae,2,2
Fungi;Basidiomycota;Exobasidiomycetes,2,2
Animalia;Arthropoda;Hexanauplia;Poecilostomatoida;Corycaeidae,15,15
Plantae;Streptophyta;Magnoliopsida;Apiales;Apiaceae,4,4
Animalia;Ctenophora;Tentaculata;Cydippida;Pleurobrachiidae;NA;Undescribed mertensiid sp. 1,7,24
Chromista;Oomycota;NA;Peronosporales;Peronosporaceae;Peronospora;Peronospora chenopodii-ambrosioidis,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Candidatus Endolissoclinum;Candidatus Endolissoclinum faulkneri,1,1
Plantae;Streptophyta;Magnoliopsida;Myrtales,2,2
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Paralecudina;Paralecudina anankea,1,1
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Sinophysis;Sinophysis ebriola,7,7
Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;Apanteles;Apanteles fumiferanae,2,2
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Imperata;Imperata contracta,3,3
Animalia;Annelida;Polychaeta;Phyllodocida;Nereididae,1,1
Plantae;Chlorophyta;Trebouxiophyceae;Watanabeales;NA;Jaagichlorella;Jaagichlorella luteoviridis,2,67
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza sativa,16,96
Plantae;Streptophyta;Magnoliopsida;Ericales;Ericaceae;Erica,1,1
Chromista;NA;Phaeophyceae;Fucales;Fucaceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium septentrionale,3,4
Chromista;NA;Chrysophyceae;NA;NA;NA;Spumella-like flagellate JBM18,11,567
Chromista;Ciliophora;Litostomatea;Pleurostomatida;Litonotidae,16,517
Plantae;Streptophyta;Magnoliopsida;Poales;Eriocaulaceae,2,2
Protozoa;Cercozoa;NA;Cercomonadida;Cercomonadidae;Cercomonas,3,3
Plantae;Streptophyta;Magnoliopsida;Chloranthales;Chloranthaceae,1,1
Chromista;NA;Dinophyceae;Syndiniales;Ellobiopsidae;Thalassomyces;Thalassomyces fagei,2,2
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlorococcaceae;Chlorococcum;Chlorococcum sp. KMMCC 170,1,1
Animalia;Arthropoda;Ostracoda,2,4
Chromista;Ciliophora;Litostomatea;Haptorida;Didiniidae;Monodinium;Monodinium sp. HCB-2005,13,541
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia;Devosia salina,1,1
Plantae;Streptophyta;Magnoliopsida;Rosales;Rosaceae;Holodiscus;Holodiscus discolor,1,1
Fungi;Chytridiomycota;Chytridiomycetes;Rhizophydiales;Terramycetaceae;Terramyces;Terramyces sp.,3,3
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Alloascoideaceae;Alloascoidea;Alloascoidea hylecoeti,6,6
Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus,3,3
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;NA;NA;Victivallales bacterium CCUG 44730,1,1
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Ruficoccus;Ruficoccus sp.,2,2
Animalia;Rotifera;Eurotatoria;Ploima;Synchaetidae;Synchaeta;Synchaeta grimpei,1,1
Chromista;NA;Pelagophyceae;Sarcinochrysidales,1,1
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella;Francisella noatunensis,1,1
Animalia;Mollusca;Gastropoda;NA;Pyramidellidae;Miralda;Miralda sp. EED-Phy-918,1,1
Bacteria;Acidobacteria;Acidobacteriia,8,58
Protozoa;NA;NA;Rotosphaerida;Nucleariidae;Nuclearia,23,23
Chromista;NA;Chrysophyceae;Hibberdiales;Hibberdiaceae;Hibberdia;Hibberdia magna,14,14
Plantae;Streptophyta;Magnoliopsida;Asparagales;Orchidaceae;Dichaea,6,6
Fungi;Chytridiomycota;Chytridiomycetes;Chytridiales;Chytriomycetaceae;Rhizoclosmatium;Rhizoclosmatium globosum,6,20
Chromista;Ciliophora;Oligohymenophorea;Apostomatida;Foettingeriidae;Synophrya;Synophrya sp.,3,3
Plantae;Streptophyta;Bryopsida;Funariales;Funariaceae;Physcomitrium;Physcomitrium patens,3,9
Chromista;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;Skeletonema sp.,1,1
Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon japonicum,2,3
Animalia;Rotifera;Eurotatoria;Ploima;Trichocercidae;Trichocerca;Trichocerca elongata,14,14
Plantae;Streptophyta;Magnoliopsida;Poales;Poaceae;Gastridium;Gastridium phleoides,3,4
Fungi;Ascomycota;Dothideomycetes,83,7523
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax amoyensis,1,1
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Entolomataceae;Clitopilus;Clitopilus brunnescens,1,1
Plantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae;Thuja;Thuja plicata,1,1
Animalia;Mollusca;Gastropoda;Littorinimorpha;Littorinidae;Littorina;Littorina littorea,1,1
Plantae;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Asparagus;Asparagus falcatus,1,1
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Brachybasidiaceae;Meira;Meira sp.,9,536
Animalia;Arthropoda;Arachnida;Sarcoptiformes;Canestriniidae;Arrunsithiana;Arrunsithiana nr. spicantis AD764,1,1
Protozoa;NA;Choanoflagellata;Craspedida;Salpingoecidae,20,26
Chromista;NA;Phaeophyceae;Laminariales;Agaraceae;Costaria;Costaria costata,2,2
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae,1,1
Bacteria;Acidobacteria,1,1
Fungi;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula sp. VITJzN03,2,2
Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;Lobochlamys culleus,1,1
Animalia;Acanthocephala;Eoacanthocephala;Neoechinorhynchida;Neoechinorhynchidae,4,4
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Polykrikos;Polykrikos geminatum,1,1
Protozoa;Euglenozoa,38,809
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae,17,17
Plantae;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer monspessulanum,11,11
Plantae;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Calystegia;Calystegia pulchra,2,2
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium,76,2714
Animalia;Rotifera;Eurotatoria;Philodinida;Philodinidae;Philodina;Philodina sp. cmbb21,4,16
Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae,11,11
Chromista;NA;Eustigmatophyceae;Eustigmatales,2,2
Animalia;Arthropoda;Hexanauplia;Calanoida;Euchaetidae;Euchaeta;Euchaeta media,2,2
Chromista;Ciliophora;Phyllopharyngea;Dysteriida;Dysteriidae;Dysteria;Dysteria procera,18,18
Chromista;Bacillariophyta;Coscinodiscophyceae;Stephanodiscales;Stephanodiscaceae;Stephanodiscus;Stephanodiscus niagarae,8,8
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Hyphomicrobium,10,76
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas kilonensis,3,3
Plantae;Streptophyta;Jungermanniopsida,2,2
Chromista;NA;Dinophyceae;Syndiniales;Amoebophryaceae;Amoebophrya;Amoebophrya sp. ex Gonyaulax polygramma,17,17
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Bostrychia;Bostrychia radicans,1,1
Bacteria;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga sp. BHI60-57B,1,1
Fungi;Zoopagomycota;Entomophthoromycetes;Entomophthorales;Entomophthoraceae,6,6
Animalia;Brachiopoda;Rhynchonellata;Rhynchonellida,3,3
Plantae;Streptophyta;Magnoliopsida;Sapindales;Meliaceae,15,15
Bacteria;Pseudomonadota;Alphaproteobacteria;Maricaulales;Robiginitomaculaceae;Algimonas;Algimonas arctica,2,2
Plantae;Streptophyta;Magnoliopsida;Myrtales;Melastomataceae;Tibouchina;Tibouchina cf. decora Michelangeli 1985,1,1
Chromista;Cercozoa;Thecofilosea;Cryomonadida;Protaspidae;Cryothecomonas;Cryothecomonas aestivalis,2,2
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium pendula,4,4
Plantae;Streptophyta;Jungermanniopsida;Pallaviciniales;Hymenophytaceae;Hymenophyton,1,1
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales,13,13
Plantae;Chlorophyta;Nephroselmidophyceae;Nephroselmidales;Nephroselmidaceae;Nephroselmis;Nephroselmis pyriformis,5,5
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Hyalorbilia;Hyalorbilia aff. rotifera,4,4
Bacteria;Pseudomonadota;Oligoflexia;Bacteriovoracales;Halobacteriovoraceae;Halobacteriovorax;Halobacteriovorax vibrionivorans,2,2
Chromista;NA;Chrysophyceae;NA;NA;Segregatospumella;Segregatospumella sp.,13,13
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Lembadionidae;Lembadion,12,1819
Animalia;Annelida;Polychaeta;Eunicida;Eunicidae;Marphysa,1,1
Chromista;Ciliophora;Spirotrichea;Choreotrichida;Strobilidiidae;Strobilidium;Strobilidium sp.,9,9
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodiniellum;Gyrodiniellum shiwhaense,3,3
Plantae;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Ostreococcus,12,12
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Teratosphaeria;Teratosphaeria epicoccoides,1,1
Chromista;Ciliophora;Spirotrichea;NA;Strombidiidae;Strombidium,76,778
Chromista;NA;Xanthophyceae;Mischococcales;Botrydiopsidaceae,1,1
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Zavarziniaceae;Zavarzinia;Zavarzinia marina,24,2539
Animalia;Annelida;Polychaeta;NA;Chaetopteridae;Phyllochaetopterus,1,1
Plantae;Streptophyta;Pinopsida;Cupressales;Cupressaceae,28,963
Bacteria;Kiritimatiellaeota;Tichowtungiia;Tichowtungiales;Tichowtungiaceae;Tichowtungia;Tichowtungia aerotolerans,1,1
Chromista;NA;Dinophyceae;Gonyaulacales;Ceratiaceae;Tripos,15,15
Plantae;Streptophyta;Magnoliopsida;Sapindales;Simaroubaceae;Ailanthus;Ailanthus altissimus,6,154
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Toniniopsis;Toniniopsis separabilis,1,1
Chromista;Ciliophora;Spirotrichea;Urostylida;Urostylidae,2,11
Plantae;Streptophyta;Magnoliopsida;Caryophyllales;Polygonaceae;Polygonum,1,1
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Doronicum;Doronicum stiriacum,2,2
Plantae;Rhodophyta;Florideophyceae;Halymeniales;Halymeniaceae;Isabbottia;Isabbottia ovalifolia,1,1
Bacteria;Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus thiooxidans,1,1
Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium;Ceramium affine,2,2
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium validusae,1,1
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;Ochromonas sp.,10,155
Protozoa;Discosea;NA;Stygamoebida;NA;Vermistella;Vermistella antarctica,1,1
Chromista;NA;Chrysophyceae;Chromulinales;Chromulinaceae;Pedospumella;Pedospumella sp.,28,1242
Plantae;Chlorophyta;Chlorophyceae;Sphaeropleales;Selenastraceae;Monoraphidium;Monoraphidium contortum,1,1
Chromista;Ciliophora;Spirotrichea;Sporadotrichida;Halteriidae;Halteria;Halteria grandinella,7,7
Animalia;Annelida;Polychaeta;NA;Parergodrilidae;Stygocapitella,16,35
Chromista;NA;Dinophyceae;Thoracosphaerales;Thoracosphaeraceae;Stoeckeria;Stoeckeria algicida,6,6
Animalia;Ctenophora;Tentaculata;Lobata;Lobatolampeidae;Lobatolampea;Lobatolampea tetragona,1,1
Chromista;Ciliophora;Oligohymenophorea;Peniculida;Parameciidae;Paramecium;Paramecium duboscqui,1,1
Animalia;Porifera;Demospongiae;Clionaida;Spirastrellidae,2,2
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;NA;Candida/Saccharomycetales;[Candida] anutae,1,1
Chromista;Ciliophora;Oligohymenophorea;Sessilida;Epistylidae;Rhabdostyla;Rhabdostyla sp. 5 PPS-2010,1,1
Plantae;Chlorophyta;Chlorophyceae;Chaetophorales;Aphanochaetaceae;Aphanochaete;Aphanochaete confervicola,1,1
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Zornia,1,1
