taxonomic_path	common_name	% samples positive in project
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Icelinus;Icelinus borealis	Northern sculpin	2.44
Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Orthopyxis;Orthopyxis integra	Hydralike animals	3.25
Animalia;Cnidaria;Hydrozoa;Leptothecata	Hydralike animals	13.01
Animalia;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphipholis	Basket stars	5.69
Plantae;NA;Florideophyceae;Rhodymeniales;Faucheaceae;Gloiocladia;Gloiocladia fryeana	Plants	2.44
Fungi;Ascomycota;Eurotiomycetes;Eurotiales	Asco's	3.25
Animalia;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii	Pacific herring	2.44
Chromista;Eustigmatophyceae;NA;Eustigmatales;Monodopsidaceae;Nannochloropsis;Nannochloropsis granulata	Chromists	1.63
Animalia;Echinodermata;Echinoidea;Clypeasteroida;Dendrasteridae;Dendraster;Dendraster excentricus	Eccentric sand dollar sea urchin	5.69
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium catenatum	Dinoflagellates	2.44
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis schneideri	Plants	4.88
Plantae;NA;Florideophyceae;Gigartinales;Solieriaceae;Sarcodiotheca;Sarcodiotheca furcata	Plants	5.69
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Pleonosporium;Pleonosporium squarrosum	Plants	1.63
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Thelonectria	Pyrenomycete	0.81
Animalia;Arthropoda;Maxillopoda;Sessilia;Balanidae;Amphibalanus;Amphibalanus sp. AFG-2015	Arthropod	1.63
Animalia;Porifera;Demospongiae;Clionaida;Clionaidae;Cliona	Boring sponges	1.63
Chromista;NA;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella;Scrippsiella trochoidea	Dinoflagellates	3.25
Animalia;Annelida;Polychaeta;Spionida;Spionidae;Laonice;Laonice cirrata CMC01	Spionid worms	4.88
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus;Chondracanthus corymbiferus	Plants	2.44
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis edentata	Plants	4.07
Chromista;NA;Oomycetes;Saprolegniales;Saprolegniaceae	Chromists	4.07
Animalia;Bryozoa;Gymnolaemata;Cheilostomatida;Membraniporidae;Membranipora	Marine bryozoans	4.07
Animalia;Cnidaria;Hydrozoa;Anthoathecata;Bougainvilliidae	Hydralike animals	5.69
Plantae;NA;Florideophyceae;Ceramiales;Delesseriaceae;Polyneura;Polyneura latissima	Plants	10.57
Animalia;Rotifera;Monogononta;Ploima;Synchaetidae;Synchaeta	Rotifers	4.07
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Nusuttodinium;Nusuttodinium aeruginosum	Dinoflagellates	8.13
Chromista;Bacillariophyta;Mediophyceae;Triceratiales;Triceratiaceae;Trieres;Trieres chinensis	Diatoms	8.13
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Phalacroma;Phalacroma rotundatum	Dinoflagellates	3.25
Animalia;Arthropoda;Insecta	Insect	2.44
Animalia;Chordata;Chondrichthyes;Chimaeriformes;Chimaeridae;Hydrolagus;Hydrolagus colliei	White-spotted Ratfish	4.88
Plantae;NA;Florideophyceae;Gracilariales;Gracilariaceae;Gracilariopsis	Plants	4.07
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Mazzaella	Plants	4.88
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina;Taphrina wiesneri	Cherry Leaf Curl	1.63
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	Pyrenomycete	1.63
Animalia;Annelida;Polychaeta;NA;Orbiniidae;Leitoscoloplos;Leitoscoloplos pugettensis CMC01	Paddle-footed annelids	2.44
Animalia;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia	Calanoid Copepods	4.88
Animalia;Cnidaria;Anthozoa;Pennatulacea;Virgulariidae;Acanthoptilum;Acanthoptilum gracile	Frail sea pen	4.07
Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Symplectoscyphus;Symplectoscyphus tricuspidatus	Sessile hydrozoans	4.88
Animalia;Mollusca;Bivalvia;Mytiloida;Mytilidae;Mytilus	Mussel	2.44
Plantae;NA;Florideophyceae;Ceramiales	Plants	4.07
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Salishia;Salishia sanguinea	Plants	3.25
Chromista;Bacillariophyta;Mediophyceae;Hemiaulales;Hemiaulaceae;Eucampia;Eucampia zodiacus	Diatoms	3.25
Animalia;Cnidaria;Hydrozoa;NA;NA;NA;Hydrozoa sp. prey of Hypomenia sp. KMK-2014	Hydralike animals	7.32
Chromista;NA;Dinophyceae;Pyrocystales;Pyrocystaceae;Pyrocystis	Dinoflagellates	7.32
Animalia;Chordata;Actinopteri;Perciformes;Cottidae;Leptocottus;Leptocottus armatus	Pacific staghorn sculpin	0.81
Fungi;Basidiomycota;Agaricomycetes;Agaricales	Agarics	3.25
Animalia;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus	Calanoid Copepods	5.69
Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;Cladosporium sp. BM-2009-5	Asco's	1.63
Animalia;Mollusca;Bivalvia;Veneroida;Veneridae;Saxidomus;Saxidomus gigantea	Washington butterclam	11.38
Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae	Earthworms	0.81
Plantae;NA;Florideophyceae	Plants	10.57
Chromista;Bacillariophyta;Coscinodiscophyceae;Melosirales;Stephanopyxidaceae;Stephanopyxis;Stephanopyxis turris	Diatoms	10.57
Chromista;NA;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Alexandrium	Dinoflagellates	1.63
Animalia;Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Pseudocalanus	Calanoid Copepods	4.07
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Glarea;Glarea lozoyensis	Asco's	2.44
Animalia;Rotifera;Monogononta	Rotifers	4.88
Animalia;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Styela;Styela gibbsii	Ascidians	2.44
Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Phacellophora;Phacellophora camtschatica	Fried-egg jellyfish	3.25
Animalia;Cnidaria;Hydrozoa;Leptothecata;Plumulariidae;Plumularia;Plumularia lagenifera	Hydralike animals	5.69
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;Pfiesteriaceae sp. CCMP1879	Dinoflagellates	3.25
Chromista;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia fryxelliana	Diatoms	0.81
Animalia;Cnidaria;Anthozoa;Actiniaria;Actiniidae;Urticina	Anemones	1.63
Animalia;Arthropoda;Maxillopoda;Calanoida;Calanidae;Calanus	Calanoid Copepods	2.44
Chromista;NA;NA;Phaeocystales;Phaeocystaceae;Phaeocystis	Chromists	22.76
Chromista;NA;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gymnodinium;Gymnodinium impudicum	Dinoflagellates	3.25
Chromista;NA;Dinophyceae;Lophodiniales;Lophodiniaceae;Woloszynskia;Woloszynskia sp. ES1-2	Dinoflagellates	1.63
Animalia;Arthropoda;Insecta;Diptera;Tabanidae;Catachlorops;Catachlorops rufescens	Horse flies	0.81
Animalia;Arthropoda;Insecta;Diptera;Drosophilidae;Stegana	Fruit Fly	2.44
Chromista;NA;Dinophyceae;Prorocentrales;Prorocentraceae;Prorocentrum;Prorocentrum triestinum	Dinoflagellates	1.63
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros	Diatoms	20.33
Plantae;NA;Florideophyceae;Gigartinales;Gigartinaceae;Chondracanthus	Plants	4.07
Chromista;NA;Dictyochophyceae;Florenciellales;NA;Pseudochattonella;Pseudochattonella farcimen	Brown algae	4.88
Animalia;Arthropoda;Arachnida;Astigmata;Pyroglyphidae;Dermatophagoides;Dermatophagoides pteronyssinus	European house dust mite	3.25
Chromista;NA;Oomycetes;Peronosporales;Peronosporaceae	Downy Mildew	0.81
Animalia;Arthropoda;Maxillopoda;Calanoida;Tortanidae;Tortanus;Tortanus discaudatus	Calanoid Copepods	3.25
Animalia;Arthropoda;Maxillopoda;Kentrogonida;Sacculinidae;Loxothylacus;Loxothylacus panopaei	Arthropod	1.63
Animalia;Mollusca;Bivalvia;Ostreoida;Ostreidae;Crassostrea	Cupped oysters	0.81
Animalia;Arthropoda;Insecta;Lepidoptera	Butterflies	4.07
Animalia;Mollusca;Gastropoda;Nudibranchia;Tritoniidae;Tritonia;Tritonia diomedea	Nudibranchs	1.63
Animalia;Annelida;Polychaeta;Capitellida;Scalibregmatidae;Scalibregma;Scalibregma inflatum CMC03	Paddle-footed annelids	1.63
Chromista;Bacillariophyta;Fragilariophyceae;Fragilariales;Fragilariaceae;Asterionellopsis;Asterionellopsis glacialis	Diatoms	5.69
Animalia;Arthropoda;Maxillopoda;Sessilia;Balanidae;Balanus;Balanus balanus	Rough barnacle	1.63
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Clitocybe;Clitocybe robusta	Funnels	0.81
Plantae;Chordata;Actinopteri;Perciformes;Liparidae;Liparis	Twayblade	1.63
Animalia;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;Pleuronichthys;Pleuronichthys coenosus	C-O Sole	0.81
Plantae;NA;Florideophyceae;Ceramiales;Ceramiaceae;Ceramium	Plants	0.81
Plantae;NA;Florideophyceae;Gigartinales;Kallymeniaceae;Callophyllis;Callophyllis pinnata	Plants	2.44
Fungi;Ascomycota;Leotiomycetes;NA;NA;Leohumicola	Asco's	0.81
Animalia;Arthropoda;Insecta;Hemiptera;Aphididae;Aulacorthum	Aphid	0.81
Animalia;Mollusca;Bivalvia	Bivalves	7.32
Chromista;NA;Dinophyceae;Peridiniales;Thoracosphaeraceae;Scrippsiella;Scrippsiella precaria	Dinoflagellates	2.44
Chromista;NA;Dinophyceae;Gymnodiniales;Kareniaceae	Dinoflagellates	5.69
Animalia;Arthropoda;Branchiopoda;Diplostraca;Podonidae;Evadne;Evadne nordmanni	Clam shrimp	1.63
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae	Shield Lichens And Allies	1.63
Animalia;Arthropoda;Branchiopoda;Diplostraca	Clam shrimp	0.81
Chromista;NA;Oomycetes;Pythiales;Pythiaceae;Pythium	Chromists	1.63
