TreeID,Species,Dia_cm,Ht_m,Live,Health
217,CADE,30.3,10.5,N,NA
218,CADE,27.7,11.5,N,NA
219,PIPO,83.8,8.0,Y,1
220,CADE,23.8,9.0,N,NA
221,CADE,27.3,10.0,N,NA
222,ABCO,52.4,7.0,Y,3
223,CADE,22.1,6.5,Y,3
224,ABCO,25.5,6.0,Y,3
225,ABCO,45.3,6.0,Y,1
226,CADE,29.8,8.0,Y,3
227,CADE,23.5,7.0,Y,3
228,PILA,25.7,12.5,N,NA
229,PILA,51.0,15.5,N,NA
230,PIPO,113.6,4.0,Y,1
231,CADE,22.7,7.0,N,NA
232,PIPO,72.3,9.0,Y,3
233,CADE,23.7,2.5,Y,3
234,PIPO,90.7,6.0,Y,2
235,PIPO,86.6,5.0,Y,3
236,PIPO,48.1,6.0,N,NA
237,PIPO,140.6,3.0,Y,1
238,CADE,20.3,10.0,N,NA
239,ABCO,46.0,12.0,N,NA
240,ABCO,50.5,12.0,N,NA
241,PILA,24.2,8.0,N,NA
242,PILA,25.5,8.0,N,NA
243,PILA,22.0,6.0,N,NA
244,PILA,21.4,9.0,N,NA
245,PIPO,114.0,12.0,Y,1
246,CADE,75.7,18.0,Y,2
247,PIPO,84.5,14.0,Y,2
248,PILA,28.0,8.5,N,NA
249,PIPO,76.4,20.0,Y,2
250,CADE,100.1,24.0,Y,2
251,UNKN,52.5,2.0,N,NA
252,CADE,90.0,14.0,Y,1
253,UNKN,86.5,12.0,N,NA
254,PIPO,89.8,14.0,Y,3
255,PIPO,122.0,17.0,Y,2
256,CADE,90.8,15.0,Y,2
257,CADE,87.0,6.0,N,NA
258,PILA,20.6,4.5,N,NA
259,PIPO,118.9,22.5,Y,1
260,PIPO,136.0,10.5,Y,1
261,CADE,78.6,19.5,Y,2
262,PIPO,93.1,12.8,Y,2
263,PIPO,142.3,8.0,Y,1
264,CADE,68.4,8.0,Y,2
265,CADE,89.9,10.0,Y,2
266,PIPO,94.8,10.0,Y,1
267,CADE,64.7,10.0,N,NA
268,ABCO,46.1,10.0,Y,2
269,ABCO,43.2,8.0,Y,2
270,CADE,70.2,17.0,Y,2
271,ABCO,21.9,6.0,N,NA
272,ABCO,43.4,11.9,N,NA
273,ABCO,41.3,9.0,Y,1
274,CADE,27.5,8.5,Y,3
275,CADE,27.6,8.0,Y,3
276,CADE,21.0,6.5,Y,3
277,ABCO,33.1,6.5,N,NA
278,ABCO,50.6,6.0,N,NA
279,ABCO,35.5,6.8,Y,1
280,ABCO,41.9,5.0,Y,1
281,PILA,26.6,5.0,Y,2
282,ABCO,47.3,9.0,N,NA
283,ABCO,50.8,7.0,Y,1
284,PILA,33.5,8.0,Y,2
285,PIPO,21.0,5.5,Y,3
286,ABCO,45.7,8.0,Y,2
287,PIPO,122.2,8.5,Y,1
288,ABCO,57.3,7.0,N,NA
289,PIPO,22.5,4.0,Y,2
290,ABCO,42.7,8.0,N,NA
291,ABCO,63.0,6.5,N,NA
292,ABCO,33.7,6.0,Y,3
293,ABCO,30.8,5.0,Y,3
294,ABCO,52.4,3.5,Y,1
295,PIPO,120.0,32.3,N,NA
296,PIPO,91.6,7.0,Y,1
297,PIPO,114.6,6.0,Y,1
298,ABCO,21.0,1.5,N,NA
299,PIPO,114.4,18.7,Y,1
300,UNKN,81.8,3.0,N,NA
301,PIPO,27.6,3.5,Y,3
302,CADE,89.5,10.0,Y,1
303,CADE,73.8,2.0,N,NA
304,PIPO,122.4,5.0,Y,1
305,ABCO,36.9,4.0,N,NA
306,ABCO,56.4,3.0,Y,1
307,PIPO,22.3,2.0,N,NA
308,ABCO,47.6,5.0,Y,2
309,ABCO,33.4,1.5,Y,2
310,ABCO,45.7,4.0,N,NA
311,ABCO,24.4,2.5,N,NA
312,ABCO,71.1,5.0,Y,1
313,PIPO,71.6,3.0,Y,1
314,ABCO,47.3,1.8,Y,1
315,ABCO,27.0,1.5,Y,2
316,ABCO,40.9,6.0,Y,1
317,ABCO,38.7,4.0,Y,1
318,ABCO,35.9,1.7,N,NA
319,ABCO,20.4,1.5,Y,3
320,ABCO,49.8,3.5,Y,2
321,ABCO,43.5,2.0,Y,1
322,ABCO,49.4,3.0,Y,2
323,ABCO,33.7,2.0,Y,2
324,ABCO,32.8,9.0,Y,2
325,PIPO,101.2,4.0,Y,2
326,PILA,79.7,3.0,Y,2
327,CADE,89.9,6.0,Y,1
328,CADE,22.1,3.0,N,NA
329,CADE,28.9,5.0,Y,3
330,CADE,39.8,8.0,Y,3
331,PIPO,88.0,8.0,Y,1
332,PIPO,31.4,4.5,Y,2
333,PIPO,31.9,4.0,Y,3
334,CADE,42.9,7.0,Y,1
335,PIPO,83.8,5.0,Y,1
336,PIPO,61.2,4.5,Y,2
337,ABCO,33.2,7.5,N,NA
338,ABCO,27.5,5.5,Y,2
339,ABCO,42.9,6.0,Y,2
340,CADE,89.7,9.0,Y,1
341,CADE,118.1,12.0,Y,1
342,ABCO,36.4,6.5,Y,1
343,ABCO,27.6,6.1,N,NA
344,PILA,25.5,6.0,Y,2
345,ABCO,22.5,7.0,Y,2
346,ABCO,47.0,8.0,Y,1
347,ABCO,44.6,8.0,Y,2
348,ABCO,33.6,8.0,Y,3
349,PIPO,98.8,5.0,Y,1
350,ABCO,30.9,6.0,Y,3
351,ABCO,22.3,6.0,N,NA
352,PIPO,69.7,4.0,Y,1
353,ABCO,35.9,6.0,Y,2
354,CADE,35.1,4.0,Y,2
355,ABCO,23.8,3.0,Y,3
356,ABCO,40.9,1.0,Y,3
357,PIPO,20.9,0.5,Y,3
358,CADE,29.5,1.5,Y,1
359,CADE,60.8,4.0,Y,1
360,CADE,51.4,4.5,Y,1
361,ABCO,40.6,4.5,Y,3
362,CADE,30.8,4.5,N,NA
363,CADE,26.4,6.5,N,NA
364,PIPO,49.3,4.5,Y,3
365,PIPO,34.6,3.0,Y,3
366,PIPO,41.0,3.0,Y,3
367,PIPO,43.6,4.0,Y,3
368,ABCO,36.0,4.5,Y,2
369,PIPO,55.1,4.5,Y,2
370,PIPO,66.3,7.0,Y,1
371,PIPO,70.1,5.0,Y,1
372,PIPO,82.3,5.0,Y,1
373,CADE,20.1,2.3,Y,3
374,PILA,97.5,6.5,Y,1
375,PILA,62.9,5.0,Y,1
376,PIPO,31.9,6.5,Y,2
377,ABCO,23.5,7.0,Y,3
378,CADE,23.2,4.0,Y,3
379,ABCO,22.0,5.1,Y,2
380,ABCO,33.2,5.0,Y,2
381,PIPO,22.9,0.5,Y,3
382,PILA,41.6,1.5,Y,3
383,PIPO,175.7,6.0,Y,1
384,PIPO,69.2,6.0,Y,1
385,ABCO,26.0,7.5,N,NA
386,ABCO,21.8,4.5,N,NA
387,ABCO,29.4,4.5,Y,3
388,ABCO,23.5,3.0,N,NA
389,ABCO,23.5,5.0,N,NA
390,ABCO,42.9,6.0,Y,3
391,ABCO,27.3,5.0,N,NA
392,ABCO,39.2,4.5,Y,2
393,ABCO,24.3,3.5,N,NA
394,ABCO,39.8,3.5,Y,1
395,ABCO,41.0,5.0,Y,3
396,ABCO,39.8,5.0,Y,2
397,ABCO,46.3,5.0,Y,3
398,PIPO,76.4,8.5,Y,3
399,CADE,89.5,7.5,Y,2
