taxonomic_path	common_name	% samples positive in project
Chromista;Apicomplexa;Conoidasida;Archigregarinorida;Selenidiidae;Selenidium;Selenidium cf. mesnili	Chromists	2.44
Animalia;Arthropoda;Hexanauplia;Calanoida	Calanoid Copepods	60.16
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Arctic sea ice associated bacterium ARK10142	Γ-proteobacteria	13.82
Chromista;Haptophyta;NA;Prymnesiales;NA;Chrysocampanula;Chrysocampanula spinifera	Haptophytes	17.89
Bacteria;Pseudomonadota;Alphaproteobacteria;NA;NA;NA;alpha proteobacterium OM25	Α-proteobacteria	12.2
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Cinetochilidae;Sathrophilus	Ciliates	50.41
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Cinetochilidae;Sathrophilus;Sathrophilus holtae	Ciliates	76.42
Chromista;Bacillariophyta;Coscinodiscophyceae;Coscinodiscales;Coscinodiscaceae;Stellarima;Stellarima microtrias	Diatoms	13.82
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	Dinoflagellates	91.87
Bacteria;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga;Methylophaga lonarensis	Γ-proteobacteria	1.63
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros debilis	Diatoms	56.91
Chromista;Ciliophora;Oligohymenophorea;Philasterida;Philasteridae;Philaster;Philaster apodigitiformis	Ciliates	43.09
Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Pelagimonas;Pelagimonas phthalicica	Α-proteobacteria	11.38
Chromista;NA;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium spinosum	Dinoflagellates	60.16
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA;Verrucomicrobiaceae bacterium	Bacteria	20.33
Protozoa;NA;Choanoflagellata;Acanthoecida;Stephanoecidae;Calliacantha	Protozoans	41.46
Plantae;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas australis	Green algae	8.13
Chromista;NA;Bigyra;Bicosoecida;Cafeteriaceae;Cafeteria;Cafeteria minima	Chromists	49.59
Protozoa;Discosea;NA;Himatismenida;NA;Parvamoeba;Parvamoeba rugata	Protozoans	3.25
Chromista;NA;Bigyra;Labyrinthulida;Labyrinthulaceae;Labyrinthula	Chromists	10.57
