taxonomic_path	common_name	% samples positive in project
Chromista;Ciliophora;Prostomatea;Prorodontida;Urotrichidae;Urotricha;Urotricha sp.	""	37.4
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium;Haliangium ochraceum	Myxobacteria	8.13
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tithonia;Tithonia diversifolia	""	9.76
Chromista;Ciliophora;Spirotrichea;Euplotida;Uronychiidae;Diophrys	Ciliates	73.98
Bacteria;Pseudomonadota;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Sneathiella	""	0.81
Chromista;NA;Dinophyceae;Gonyaulacales;Amphidomataceae;Azadinium;Azadinium spinosum	Dinoflagellates	75.61
Chromista;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Attheyaceae;Attheya;Attheya longicornis	Diatoms	42.28
Plantae;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae	""	18.7
Bacteria;Verrucomicrobia;Opitutae	Bacteria	23.58
Animalia;Cnidaria;Hydrozoa;Leptothecata	""	24.39
Chromista;Cercozoa;Imbricatea;Thaumatomonadida;Thaumatomastigidae;Protaspis;Protaspis obliqua	Chromists	56.91
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;Puniceicoccaceae;Candidatus Moanabacter;Candidatus Moanabacter tarae	Bacteria	17.89
Plantae;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Pilea	Clearweed	5.69
Animalia;Arthropoda;Insecta;Hymenoptera;Braconidae;Apanteles;Apanteles fumiferanae	""	0.81
Chromista;NA;Dinophyceae;Peridiniales	Dinoflagellates	80.49
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp.	Dinoflagellates	81.3
Chromista;NA;Dinophyceae;Dinophysiales;Dinophysiaceae;Dinophysis;Dinophysis norvegica	Dinoflagellates	35.77
Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales	""	6.5
Chromista;NA;Dinophyceae;Peridiniales;Peridiniaceae;Scrippsiella;Scrippsiella sp. HZ-2005	Dinoflagellates	51.22
Plantae;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva	Green Laver	34.96
Fungi;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Sistotrema	""	4.88
Chromista;NA;Dinophyceae;Peridiniales;Heterocapsaceae;Heterocapsa;Heterocapsa triquetra	Dinoflagellates	91.87
Protozoa;Discosea;Flabellinia;Dactylopodida;Paramoebidae;Korotnevella;Korotnevella jeppesenii	""	0.81
Chromista;NA;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Teleaulax;Teleaulax acuta	Cryptomonads	51.22
Chromista;NA;Bigyra;Thraustochytrida;Thraustochytriaceae;Aplanochytrium;Aplanochytrium stocchinoi	Chromists	47.15
Chromista;Ciliophora;Litostomatea;Haptorida;Homalozoonidae;Homalozoon;Homalozoon vermiculare	""	5.69
Chromista;Apicomplexa;Conoidasida;Eugregarinorida;Lecudinidae;Ancora;Ancora sagittata	Chromists	2.44
Animalia;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae	Calanoid Copepods	46.34
Fungi;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Filobasidium	""	1.63
Chromista;NA;Dinophyceae;Peridiniales;Amphidiniopsidaceae	Dinoflagellates	90.24
Chromista;Picozoa;Picomonadea;Picomonadida;Picomonadidae;Picomonas;Picomonas judraskeda	Chromists	71.54
Chromista;NA;Dinophyceae;Suessiales;Suessiaceae;Yihiella;Yihiella yeosuensis	Dinoflagellates	44.72
Chromista;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae	Diatoms	64.23
Plantae;Streptophyta;Magnoliopsida;Alismatales;Zosteraceae	Eel grass	39.02
Plantae;Streptophyta;Magnoliopsida;Myrtales;Myrtaceae	""	3.25
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium sp.	Asco's	26.02
Plantae;Ciliophora;Oligohymenophorea;Philasterida;Uronematidae;Uronema	Ciliates	3.25
Chromista;NA;Dinophyceae;Peridiniales;Pfiesteriaceae;NA;cryptoperidiniopsoid sp. Folly C5	Dinoflagellates	51.22
Plantae;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Trifolium;Trifolium pratense	""	2.44
Protozoa;Parabasalia;NA;Spirotrichonymphida;Holomastigotoididae;Holomastigotoides;Holomastigotoides sp.	""	1.63
Plantae;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Tephroseris	Groundsel	17.89
Chromista;NA;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas foraminifera	""	7.32
